Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,64 - 64E - 07:00,1.9,0,3.3,85.7,11.1,25
Saturday,64 - 64E - 07:30,4.6,0,11.9,88.1,0,23
Saturday,64 - 64E - 08:00,1.4,0,5.6,88.7,5.6,7
Saturday,64 - 64E - 08:30,6.7,1,6.6,93.4,0,40
Saturday,64 - 64E - 09:00,1.7,1,5.8,84,10.2,15
Saturday,64 - 64E - 09:30,5.3,1,6.2,93.8,0,48
Saturday,64 - 64E - 10:00,2,1,5.4,81.8,12.8,14
Saturday,64 - 64E - 10:30,7.4,2,5.4,94.6,0,74
Saturday,64 - 64E - 11:00,1.3,1,5.3,85.6,9.1,10
Saturday,64 - 64E - 11:30,6.9,2.5,5.8,91.5,2.7,76
Saturday,64 - 64E - 12:00,3.7,2,5.3,69.5,25.1,44
Saturday,64 - 64E - 12:30,6.4,3,5.4,92.3,2.3,70
Saturday,64 - 64E - 13:00,2.5,2,4.9,78.6,16.5,25
Saturday,64 - 64E - 13:30,6.4,4,5.3,91.1,3.6,70
Saturday,64 - 64E - 14:00,2.8,3,4.6,94.6,0.8,28
Saturday,64 - 64E - 14:30,4.8,6,5.3,91.6,3.1,57
Saturday,64 - 64E - 15:00,4.1,5,5.3,92.9,1.8,41
Saturday,64 - 64E - 15:30,4.6,4,5.8,92.9,1.3,46
Saturday,64 - 64E - 16:00,3.2,3,5.4,94.6,0,35
Saturday,64 - 64E - 16:30,4.4,5,5.8,92.5,1.8,48
Saturday,64 - 64E - 17:00,4.5,4,5.3,94.7,0,50
Saturday,64 - 64E - 17:30,6.3,7,5.3,94.2,0.4,75
Saturday,64 - 64E - 18:00,4.1,4,5.3,87.1,7.6,49
Saturday,64 - 64E - 18:30,3,4,6.7,93.3,0,36
Saturday,64 - 64E - 19:00,3.7,4,5.3,94.7,0,41
Saturday,64 - 64E - 19:30,5.6,8,5.3,92.9,1.8,67
Saturday,64 - 64E - 20:00,5.3,3,5.3,89.8,4.9,63
Saturday,64 - 64E - 20:30,3.9,5,6.2,88.9,4.9,39
Saturday,64 - 64E - 21:00,3.3,3,6.2,93.8,0,40
Saturday,64 - 64E - 21:30,4,5,7.6,92.4,0,44
Saturday,64 - 64W - 07:19,1.8,2,0,57.6,42.4,22
Saturday,64 - 64W - 07:49,4,0,18.5,81.5,0,28
Saturday,64 - 64W - 08:19,1.9,1,0,66.1,33.9,17
Saturday,64 - 64W - 08:49,6.8,1,3.1,96.9,0,61
Saturday,64 - 64W - 09:19,4.6,1,0,51.1,48.9,41
Saturday,64 - 64W - 09:49,7.1,2,2,95.7,2.4,92
Saturday,64 - 64W - 10:19,3.7,2,0,32.7,67.3,44
Saturday,64 - 64W - 10:49,7.3,3,0,95.9,4.1,80
Saturday,64 - 64W - 11:19,4.8,3,0,38,62,62
Saturday,64 - 64W - 11:49,6.2,3,0,89,11,68
Saturday,64 - 64W - 12:19,4.8,4,0,30.6,69.4,63
Saturday,64 - 64W - 12:49,8.2,4,1.3,89.3,9.4,98
Saturday,64 - 64W - 13:19,3.1,3,0,36.1,63.9,40
Saturday,64 - 64W - 13:49,8.8,5,3.4,79.7,16.9,106
Saturday,64 - 64W - 14:19,3.5,3,0,90.3,9.7,38
Saturday,64 - 64W - 14:49,4.7,5,0,89.9,10.1,52
Saturday,64 - 64W - 15:19,4.2,3,0,88.6,11.4,42
Saturday,64 - 64W - 15:49,3.1,4,1.3,82.7,16,31
Saturday,64 - 64W - 16:19,2.3,2,0,91.1,8.9,23
Saturday,64 - 64W - 16:49,3.3,5,0,81.4,18.6,30
Saturday,64 - 64W - 17:19,3.6,4,1.7,95.4,3,36
Saturday,64 - 64W - 17:49,3.7,4,0,87.3,12.7,41
Saturday,64 - 64W - 18:19,2.8,2,0,68.1,31.9,25
Saturday,64 - 64W - 18:49,3.3,5,0.5,86.7,12.8,36
Saturday,64 - 64W - 19:19,2,3,0.4,92.4,7.2,22
Saturday,64 - 64W - 19:49,3.3,5,0,90.7,9.3,36
Saturday,64 - 64W - 20:19,3.6,2,0,70,30,36
Saturday,64 - 64W - 20:49,1.9,4,0,85.2,14.8,15
Saturday,64 - 64W - 21:19,2.6,1,0,91.9,8.1,13
Saturday,64 - 64W - 21:49,2.6,4,2.1,90.3,7.6,18
Sunday,64 - 64E - 08:00,1.7,1,4.7,77.1,18.2,20
Sunday,64 - 64E - 08:30,1.5,0,5.7,93.9,0.4,3
Sunday,64 - 64E - 09:00,1.8,1,5.3,94.7,0,20
Sunday,64 - 64E - 09:30,2.5,2,5.8,93.1,1.2,28
Sunday,64 - 64E - 10:00,2.4,2,6.8,92.8,0.4,26
Sunday,64 - 64E - 10:30,2.5,2,5.3,92,2.7,32
Sunday,64 - 64E - 11:00,2.2,3,5.3,88.6,6.1,29
Sunday,64 - 64E - 11:30,3.4,2,5.3,86.3,8.4,31
Sunday,64 - 64E - 12:00,3.5,3,5.3,84.8,9.9,39
Sunday,64 - 64E - 12:30,2.3,3,5.3,86.3,8.4,25
Sunday,64 - 64E - 13:00,3.8,3,5.3,92,2.7,38
Sunday,64 - 64E - 13:30,4.7,3,5.3,86.6,8,56
Sunday,64 - 64E - 14:00,5.5,5,6.5,78.6,14.9,60
Sunday,64 - 64E - 14:30,4.1,4,5.3,86.6,8,49
Sunday,64 - 64E - 15:00,7.4,7,5.4,92.7,1.9,104
Sunday,64 - 64E - 15:30,4.4,5,5.3,84,10.7,57
Sunday,64 - 64E - 16:00,4.5,4,6.5,88.5,5,58
Sunday,64 - 64E - 16:30,5.5,6,5.3,90.1,4.6,71
Sunday,64 - 64E - 17:00,6.6,7,5.4,89.9,4.7,92
Sunday,64 - 64E - 17:30,5.9,7,5.3,93.9,0.8,77
Sunday,64 - 64E - 18:00,5.3,4,5.8,92.6,1.6,63
Sunday,64 - 64W - 08:20,4.6,2,0,75.5,24.5,65
Sunday,64 - 64W - 08:50,3.3,1,0,91.8,8.2,43
Sunday,64 - 64W - 09:20,2.4,2,0.7,95.7,3.6,31
Sunday,64 - 64W - 09:50,2.9,3,0,86.6,13.4,41
Sunday,64 - 64W - 10:20,6.9,3,0,85.9,14.1,90
Sunday,64 - 64W - 10:50,4.8,2,0,74.7,25.3,62
Sunday,64 - 64W - 11:20,4.5,3,0.7,87.4,11.9,58
Sunday,64 - 64W - 11:50,4.8,3,1.1,73.6,25.3,67
Sunday,64 - 64W - 12:20,5.9,3,0.7,76.5,22.7,82
Sunday,64 - 64W - 12:50,5.6,4,0.7,74.4,24.9,73
Sunday,64 - 64W - 13:20,5.2,4,0.7,93.5,5.8,68
Sunday,64 - 64W - 13:50,5.1,4,0.4,76,23.6,71
Sunday,64 - 64W - 14:20,4.2,3,5.8,67.1,27.1,54
Sunday,64 - 64W - 14:50,4.5,4,1.1,74.4,24.5,54
Sunday,64 - 64W - 15:20,3.8,7,8.4,91.6,0,49
Sunday,64 - 64W - 15:50,5.7,5,1.1,78.3,20.6,74
Sunday,64 - 64W - 16:20,3.1,3,7,93,0,40
Sunday,64 - 64W - 16:50,5.5,5,1.1,92.4,6.5,72
Sunday,64 - 64W - 17:20,4,4,8.4,84.3,7.3,48
Sunday,64 - 64W - 17:50,3,5,0.7,84.8,14.4,27
Sunday,64 - 64W - 18:20,2.2,3,4.8,90.4,4.8,20
Weekday,64 - 64E - 06:00,4.5,1,7,92.9,0.2,286
Weekday,64 - 64E - 06:30,4.2,1,6.1,89.5,4.4,249
Weekday,64 - 64E - 07:00,2,0,5.4,94.4,0.2,83
