Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Weekday,2 - 2E - 06:00,1.3,0,8.6,82.8,8.6,40
Weekday,2 - 2E - 06:15,2,0,12.4,85.7,1.9,95
Weekday,2 - 2E - 06:30,1.7,0,11.8,86.2,2,77
Weekday,2 - 2E - 06:45,4.7,2,11.7,88.3,0,294
Weekday,2 - 2E - 07:00,2,1,10.8,87,2.2,114
Weekday,2 - 2E - 07:15,3,1,11.4,88.3,0.4,153
Weekday,2 - 2E - 07:30,2.5,1,11.4,84.6,4,118
Weekday,2 - 2E - 07:45,3.6,2,11.4,88.5,0.2,197
Weekday,2 - 2E - 08:00,2.9,1,10.9,80.4,8.8,171
Weekday,2 - 2E - 08:15,3.9,1,11,86.3,2.6,232
Weekday,2 - 2E - 08:30,2.4,1,11.2,87.8,1.1,127
Weekday,2 - 2E - 08:45,3.4,2,12.2,87.8,0,163
Weekday,2 - 2E - 09:00,2.1,1,11.3,86.5,2.1,107
Weekday,2 - 2E - 14:00,2.8,1,20.6,75.2,4.2,142
Weekday,2 - 2E - 14:15,2.9,0,12.5,82.4,5.2,115
Weekday,2 - 2E - 14:30,2,1,19.5,75.3,5.2,86
Weekday,2 - 2E - 14:45,4.6,2,20.2,77.4,2.4,280
Weekday,2 - 2E - 15:00,2.2,1,23.4,71.1,5.5,92
Weekday,2 - 2E - 15:15,2.6,1,12.3,83.8,3.9,137
Weekday,2 - 2E - 15:30,2.5,1,18,78.8,3.2,107
Weekday,2 - 2E - 15:45,2.6,1,18.9,78.5,2.6,125
Weekday,2 - 2E - 16:00,2.4,1,20.8,74.5,4.8,116
Weekday,2 - 2E - 16:15,3.2,1,12.7,81.4,6,174
Weekday,2 - 2E - 16:30,2.6,1,15.5,77.3,7.2,131
Weekday,2 - 2E - 16:45,2.7,1,20.4,76.5,3.1,140
Weekday,2 - 2E - 17:00,2.2,1,15.2,80.7,4,97
Weekday,2 - 2E - 17:15,2.5,1,16.1,80.7,3.2,132
Weekday,2 - 2E - 17:30,2.1,1,19.9,76.5,3.6,64
Weekday,2 - 2E - 17:45,2.4,2,42,54.8,3.3,107
Weekday,2 - 2E - 18:00,1.9,1,35.9,58.5,5.5,55
Weekday,2 - 2W - 06:00,1.1,0,12.9,84.7,2.4,65
Weekday,2 - 2W - 06:15,1.3,0,35.5,64.5,0,45
Weekday,2 - 2W - 06:30,1.4,0,14.8,84.1,1.1,36
Weekday,2 - 2W - 06:45,1.4,0,18.8,80.9,0.4,55
Weekday,2 - 2W - 07:00,2.1,1,12.1,87.1,0.7,130
Weekday,2 - 2W - 07:15,1.4,1,17.2,82.8,0,46
Weekday,2 - 2W - 07:30,2.2,1,11.1,81.3,7.6,119
Weekday,2 - 2W - 07:45,2,1,11.4,87.4,1.2,106
Weekday,2 - 2W - 08:00,1.9,1,13.3,86.1,0.5,88
Weekday,2 - 2W - 08:15,2,1,16.9,82.9,0.2,102
Weekday,2 - 2W - 08:30,1.9,1,12.1,86.7,1.2,89
Weekday,2 - 2W - 08:45,2.2,1,11.1,88.9,0,97
Weekday,2 - 2W - 08:45,2.7,1,12.5,87.5,0,8
Weekday,2 - 2W - 09:00,2.7,1,13.7,85.8,0.5,153
Weekday,2 - 2W - 14:00,5.2,2,10.4,85.7,3.9,313
Weekday,2 - 2W - 14:15,2.4,1,14.6,84.1,1.3,120
Weekday,2 - 2W - 14:30,2.5,1,10.5,79,10.5,130
Weekday,2 - 2W - 14:45,3.4,1,9.9,79,11,182
Weekday,2 - 2W - 15:00,2.9,2,10.7,85.1,4.3,176
Weekday,2 - 2W - 15:15,2.9,1,10.8,84.8,4.4,150
Weekday,2 - 2W - 15:30,2.4,1,10.5,84.9,4.6,126
Weekday,2 - 2W - 15:45,2.4,1,10.1,82.6,7.3,115
Weekday,2 - 2W - 16:00,2.7,1,10.1,84.7,5.2,142
Weekday,2 - 2W - 16:15,2.3,1,11.4,85.7,2.9,95
Weekday,2 - 2W - 16:30,2.9,1,10,83.9,6.1,133
Weekday,2 - 2W - 16:45,2.7,1,9.3,81.7,9,140
Weekday,2 - 2W - 17:00,2,1,9.8,85,5.2,90
Weekday,2 - 2W - 17:15,2,1,12.1,84.3,3.6,73
Weekday,2 - 2W - 17:30,2.7,1,10.9,82.9,6.2,106
Weekday,2 - 2W - 17:45,1.9,1,12.1,82.9,5.1,65
Weekday,2 - 2W - 17:45,2,0,20,80,0,6
Weekday,2 - 2W - 18:00,2,1,11,86.8,2.1,91
