Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,40 - 40E - 07:15,2.5,1,6.5,93.5,0,28
Saturday,40 - 40E - 07:45,1.9,1,5.6,79.6,14.8,19
Saturday,40 - 40E - 08:15,3.1,0,5.4,90.3,4.3,37
Saturday,40 - 40E - 08:45,2.5,3,4,96,0,30
Saturday,40 - 40E - 09:15,3.8,1,9.1,88.9,2,49
Saturday,40 - 40E - 09:45,5.2,4,3.7,77.5,18.8,67
Saturday,40 - 40E - 10:15,5.1,2,4.3,95.7,0,66
Saturday,40 - 40E - 10:45,4.9,6,3.4,80.1,16.5,64
Saturday,40 - 40E - 11:15,5.2,3,4,94.3,1.7,67
Saturday,40 - 40E - 11:45,6.9,10,4.3,85.8,10,90
Saturday,40 - 40E - 12:15,6.5,2,4.6,88.3,7.1,85
Saturday,40 - 40E - 12:45,9.1,16,4.8,79.2,16,118
Saturday,40 - 40E - 13:15,8,3,7.1,92.9,0,104
Saturday,40 - 40E - 13:45,8.8,16,4.5,90.8,4.8,114
Saturday,40 - 40E - 14:15,7.3,3,5.4,90.6,4,95
Saturday,40 - 40E - 14:45,7.8,15,3.1,77.8,19.1,102
Saturday,40 - 40E - 15:15,8.3,4,3.4,90.8,5.7,108
Saturday,40 - 40E - 15:45,6.8,19,7.4,90.6,2,89
Saturday,40 - 40E - 16:15,7.8,4,5.4,85.7,8.9,102
Saturday,40 - 40E - 16:45,6.7,20,8.5,91.5,0,87
Saturday,40 - 40E - 17:15,7.7,4,6.8,88.6,4.6,100
Saturday,40 - 40E - 17:45,8.5,22,7.4,86.9,5.7,111
Saturday,40 - 40E - 18:15,5.8,4,4,95.2,0.9,70
Saturday,40 - 40E - 18:45,5.9,19,4.6,95.4,0,77
Saturday,40 - 40E - 19:15,8.5,6,4,92.3,3.7,110
Saturday,40 - 40E - 19:45,5.6,23,7.7,92.3,0,73
Saturday,40 - 40E - 20:15,6.8,6,4.6,88.9,6.6,88
Saturday,40 - 40E - 20:45,6.2,28,11.1,88.9,0,74
Saturday,40 - 40E - 21:15,5,6,4.8,94.6,0.6,65
Saturday,40 - 40E - 21:45,3.7,28,14.5,85.5,0,48
Saturday,40 - 40W - 07:15,3,2,4.8,92,3.2,24
Saturday,40 - 40W - 07:45,3.2,1,9.5,90.5,0,41
Saturday,40 - 40W - 08:15,4.6,3,4.7,92.3,3,55
Saturday,40 - 40W - 08:45,4.1,2,6.2,92,1.8,53
Saturday,40 - 40W - 09:15,5.6,4,6.3,89.3,4.3,62
