Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,225 - 225E - 06:45,2.3,1,2.8,94.4,2.8,28
Saturday,225 - 225E - 07:15,2.3,0,2.8,97.2,0,28
Saturday,225 - 225E - 07:45,4.2,2,3,89.5,7.5,54
Saturday,225 - 225E - 08:15,4.2,2,3.9,96.1,0,55
Saturday,225 - 225E - 08:45,5.7,2,3.2,87.8,9,74
Saturday,225 - 225E - 09:15,5.6,3,2.8,84.9,12.3,73
Saturday,225 - 225E - 09:45,4.2,5,4.6,88.5,6.9,55
Saturday,225 - 225E - 10:15,7.2,2,3.2,88,8.8,93
Saturday,225 - 225E - 10:45,5.1,5,3,84.2,12.8,66
Saturday,225 - 225E - 11:15,9.2,18,4.3,71.4,24.4,120
Saturday,225 - 225E - 11:45,8.2,5,2.8,71.8,25.4,106
Saturday,225 - 225E - 12:15,9.3,8,2.4,71.3,26.3,121
Saturday,225 - 225E - 12:45,8.3,27,1.9,71.4,26.7,108
Saturday,225 - 225E - 13:15,9.7,4,2.1,78.4,19.4,126
Saturday,225 - 225E - 13:45,10.5,8,2.6,71.4,26.1,136
Saturday,225 - 225E - 14:15,6.6,25,1.7,59.3,39,86
Saturday,225 - 225E - 14:45,5.8,4,2.4,77.3,20.3,70
Saturday,225 - 225E - 15:15,13.5,10,2.6,64.6,32.8,175
Saturday,225 - 225E - 15:45,8.5,21,2.2,67.5,30.3,110
Saturday,225 - 225E - 16:15,10.6,5,4.5,88.4,7.1,138
Saturday,225 - 225E - 16:45,9.9,8,7.3,79.6,13.1,129
Saturday,225 - 225E - 17:15,9.8,22,2.6,67.4,30,128
Saturday,225 - 225E - 17:45,6.8,3,6.2,87.4,6.4,88
Saturday,225 - 225E - 18:15,8.5,6,2.8,84.4,12.8,110
Saturday,225 - 225E - 18:45,6.9,26,2.6,77.8,19.7,90
Saturday,225 - 225E - 19:15,7.8,5,4.3,78.6,17.1,101
Saturday,225 - 225E - 19:45,8.4,7,3.4,73.5,23.1,109
Saturday,225 - 225E - 20:15,9.2,21,2.8,85.9,11.3,119
Saturday,225 - 225E - 20:45,6.7,4,6.6,93.4,0,87
Saturday,225 - 225E - 21:15,5.3,6,6.4,91.9,1.7,58
Saturday,225 - 225E - 21:45,3.1,20,3.2,96.5,0.2,34
Saturday,225 - 225W - 07:00,2.8,1,2.3,87.8,10,33
Saturday,225 - 225W - 07:30,5.4,2,2.9,88.7,8.4,65
Saturday,225 - 225W - 08:00,6.4,3,2.7,93.4,3.9,83
Saturday,225 - 225W - 08:30,6.6,3,2.7,76.8,20.5,86
Saturday,225 - 225W - 09:00,7.4,5,2.8,68.1,29.1,96
Saturday,225 - 225W - 09:30,8.8,4,2.7,69.3,28,106
Saturday,225 - 225W - 10:00,8,5,2.7,72.9,24.4,104
Saturday,225 - 225W - 10:30,11.3,11,2.7,66,31.3,147
Saturday,225 - 225W - 11:00,7.8,5,2.7,75.7,21.6,102
Saturday,225 - 225W - 11:30,11.5,8,2.7,49.8,47.5,150
Saturday,225 - 225W - 12:00,11.5,23,2.9,57.5,39.6,150
Saturday,225 - 225W - 12:30,10.2,6,2.7,55.8,41.5,133
Saturday,225 - 225W - 13:00,9.3,8,2.7,58.7,38.6,121
Saturday,225 - 225W - 13:30,12.6,27,2.9,69.1,28,164
Saturday,225 - 225W - 14:00,11,6,2.7,64.7,32.6,143
Saturday,225 - 225W - 14:30,10.3,6,2.7,60.4,36.9,134
Saturday,225 - 225W - 15:00,9.9,22,2.7,60.9,36.4,129
Saturday,225 - 225W - 15:30,9.3,3,2.9,72.9,24.2,121
Saturday,225 - 225W - 16:00,10.8,8,2.5,78.4,19.1,140
Saturday,225 - 225W - 16:30,7.2,20,2.5,76.1,21.4,94
Saturday,225 - 225W - 17:00,6.1,3,4.4,84.6,11,79
Saturday,225 - 225W - 17:30,8.1,7,3.5,89,7.5,105
Saturday,225 - 225W - 18:00,9.5,21,2.5,63.7,33.8,123
Saturday,225 - 225W - 18:30,6.5,2,5,87.1,7.9,85
Saturday,225 - 225W - 19:00,6.2,5,2.5,87.6,10,81
Saturday,225 - 225W - 19:30,7.5,20,2.7,85.9,11.4,97
Saturday,225 - 225W - 20:00,5.5,5,4.6,89.6,5.8,72
Saturday,225 - 225W - 20:30,4.7,7,3.3,91.7,5,61
Saturday,225 - 225W - 21:00,4.8,20,2.7,89.2,8.1,57
Saturday,225 - 225W - 21:30,3.1,1,8.1,88.2,3.7,22
Sunday,225 - 225E - 08:15,4.3,1,3.6,96.4,0,56
Sunday,225 - 225E - 08:45,4.8,3,4.6,84.5,10.9,58
Sunday,225 - 225E - 09:15,3.6,3,6.2,90.9,3,47
Sunday,225 - 225E - 09:45,4.6,3,17.1,82.9,0,60
Sunday,225 - 225E - 10:15,5,3,4.3,95.7,0,60
Sunday,225 - 225E - 10:45,6.4,5,4,92.3,3.8,83
Sunday,225 - 225E - 11:15,5.5,5,10.1,88.1,1.8,72
Sunday,225 - 225E - 11:45,6.1,3,3,79,18,73
Sunday,225 - 225E - 12:15,5.5,4,3.4,73.4,23.3,71
Sunday,225 - 225E - 12:45,8.2,6,2.6,92.6,4.8,106
Sunday,225 - 225E - 13:15,5.6,5,5.1,89,5.9,73
