Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,47 - 47E - 07:00,1.8,1,1.8,90.8,7.3,20
Saturday,47 - 47E - 07:30,2.7,1,18.3,81.7,0,32
Saturday,47 - 47E - 08:00,3.1,1,4.9,91.6,3.5,40
Saturday,47 - 47E - 08:30,5,3,8.5,91,0.6,60
Saturday,47 - 47E - 09:00,5.8,3,10.5,87.8,1.7,76
Saturday,47 - 47E - 09:30,7.6,2,3.7,85.8,10.5,99
Saturday,47 - 47E - 10:00,8.4,6,5.3,87.4,7.3,109
Saturday,47 - 47E - 10:30,7.5,1,10.5,87.8,1.7,83
Saturday,47 - 47E - 11:00,8.6,3,1.8,77.4,20.8,112
Saturday,47 - 47E - 11:30,9.9,5,5.6,73.9,20.5,129
Saturday,47 - 47E - 12:00,9.7,4,2.4,76.7,20.9,126
Saturday,47 - 47E - 12:30,7.5,3,1.8,62.8,35.4,90
Saturday,47 - 47E - 13:00,10.5,9,3,73.7,23.3,137
Saturday,47 - 47E - 13:30,12.6,3,6.2,85.5,8.3,164
Saturday,47 - 47E - 14:00,12.2,5,3,82.9,14,146
Saturday,47 - 47E - 14:30,9.1,4,1.5,86.5,12,109
Saturday,47 - 47E - 15:00,11.8,6,2,80.1,17.9,142
Saturday,47 - 47E - 15:30,12,5,1.8,78.7,19.5,156
Saturday,47 - 47E - 16:00,10.8,13,2.8,89.2,8,141
Saturday,47 - 47E - 16:30,12.7,3,3.9,91.6,4.5,165
Saturday,47 - 47E - 17:00,10.7,6,4.7,93,2.3,128
Saturday,47 - 47E - 17:30,9.9,4,2.7,87.7,9.7,129
Saturday,47 - 47E - 18:00,12.7,7,3.3,91.2,5.5,165
Saturday,47 - 47E - 18:30,7.8,5,1.8,90.3,7.9,102
Saturday,47 - 47E - 19:00,11.8,17,9.8,88.2,2,153
Saturday,47 - 47E - 19:30,6.1,3,15.4,84.6,0,79
Saturday,47 - 47E - 20:00,6.6,4,8.1,90,1.8,79
Saturday,47 - 47E - 21:00,7,21,27.7,71.5,0.8,84
Saturday,47 - 47W - 07:00,5.6,1,8.6,91.4,0,73
Saturday,47 - 47W - 07:30,5.1,2,24.8,75.2,0,66
Saturday,47 - 47W - 08:00,4.8,2,7.9,92.1,0,62
Saturday,47 - 47W - 08:30,5.6,2,5.6,81.3,13.2,67
Saturday,47 - 47W - 09:00,6.7,5,6.1,80.2,13.7,87
Saturday,47 - 47W - 09:30,8.3,1,2.7,93.2,4.2,108
Saturday,47 - 47W - 10:00,7.8,2,2,81.6,16.4,101
Saturday,47 - 47W - 10:30,10.1,4,2,82.1,15.9,131
Saturday,47 - 47W - 11:00,10.4,4,2.5,75.3,22.2,135
Saturday,47 - 47W - 11:30,8.3,2,2,91.5,6.4,108
Saturday,47 - 47W - 12:00,9.4,7,2,84.1,13.9,122
Saturday,47 - 47W - 12:30,8.2,2,2.8,76.1,21.1,107
Saturday,47 - 47W - 13:00,11.6,4,1.9,85.1,13,139
Saturday,47 - 47W - 13:30,9.4,5,3.3,86.6,10.1,122
Saturday,47 - 47W - 14:00,8.8,4,7,87,6,115
Saturday,47 - 47W - 14:30,11.7,5,2,74.9,23.1,152
Saturday,47 - 47W - 15:00,11.2,9,2.2,89.1,8.6,134
Saturday,47 - 47W - 15:30,9.6,3,4.7,82.1,13.2,125
Saturday,47 - 47W - 16:00,7.9,3,5.6,87.3,7.1,95
Saturday,47 - 47W - 16:30,10.8,6,4.1,79.6,16.4,140
Saturday,47 - 47W - 17:00,11.5,7,2.4,85.8,11.8,149
Saturday,47 - 47W - 17:30,9.6,5,2,86.1,11.9,125
Saturday,47 - 47W - 18:00,7.5,11,8.7,88,3.3,97
Saturday,47 - 47W - 18:30,9.1,3,2.5,95,2.5,118
Saturday,47 - 47W - 19:00,5.3,3,5.1,90.7,4.2,58
Saturday,47 - 47W - 19:30,5.8,5,2,91.7,6.2,69
Saturday,47 - 47W - 20:00,7.2,14,17.5,82.4,0.2,93
Saturday,47 - 47W - 21:00,4.1,3,12.4,87.6,0,49
Sunday,47 - 47E - 08:00,3,1,4.5,88,7.5,33
Sunday,47 - 47E - 08:30,2.5,0,8,90,2.1,28
Sunday,47 - 47E - 09:00,12.3,4,2.7,97.3,0,172
Sunday,47 - 47E - 09:30,3.9,1,3.8,96,0.1,51
Sunday,47 - 47E - 10:00,5.5,3,4.7,69.5,25.8,66
Sunday,47 - 47E - 10:30,4.9,3,3.8,91.1,5.1,69
Sunday,47 - 47E - 11:00,10.7,5,10,89.4,0.7,150
Sunday,47 - 47E - 11:30,7.9,2,1.8,89.5,8.6,111
Sunday,47 - 47E - 12:00,7.9,4,1.8,47.2,51,103
Sunday,47 - 47E - 12:30,9.5,4,3.4,63.7,32.9,124
Sunday,47 - 47E - 13:00,17.1,8,3.4,93.1,3.4,240
Sunday,47 - 47E - 13:30,7.9,2,1.8,82.7,15.4,111
Sunday,47 - 47E - 14:00,9.2,4,1.8,52.9,45.3,119
Sunday,47 - 47E - 14:30,5.9,4,2.9,84.3,12.8,77
Sunday,47 - 47E - 15:00,17.3,8,10.7,82.9,6.4,242
Sunday,47 - 47E - 15:30,9.5,5,1.8,83.6,14.5,133
Sunday,47 - 47E - 16:00,9,4,3.6,43.5,52.9,117
Sunday,47 - 47E - 16:30,8.5,6,1.8,76.7,21.5,119
Sunday,47 - 47E - 17:00,8.6,10,1.8,84.5,13.6,112
Sunday,47 - 47E - 17:30,8.1,3,1.9,93.2,4.9,113
Sunday,47 - 47E - 18:00,7,5,5,57.5,37.5,91
Sunday,47 - 47W - 08:00,14.9,2,11.3,88.7,0,208
Sunday,47 - 47W - 08:30,4.1,1,3.2,96.8,0,58
Sunday,47 - 47W - 09:00,3.8,3,4.7,94.7,0.6,46
Sunday,47 - 47W - 09:30,5.9,2,7.7,89.4,2.9,83
Sunday,47 - 47W - 10:00,12.6,5,9.9,88.6,1.5,177
Sunday,47 - 47W - 10:30,8.4,3,2,91.7,6.3,118
Sunday,47 - 47W - 11:00,7.9,4,1.2,48.7,50.1,103
Sunday,47 - 47W - 11:30,6.4,2,9.7,87.1,3.2,89
Sunday,47 - 47W - 12:00,18.4,12,5.9,93.4,0.7,258
Sunday,47 - 47W - 12:30,9.4,3,2.3,93.9,3.8,132
Sunday,47 - 47W - 13:00,9.8,4,3.2,75.2,21.6,128
Sunday,47 - 47W - 13:30,11.6,5,3.9,91.3,4.8,151
Sunday,47 - 47W - 14:00,19.3,10,15.1,81.6,3.3,270
Sunday,47 - 47W - 14:30,11.6,4,2.5,96.1,1.5,162
Sunday,47 - 47W - 15:00,9.1,3,2.3,72.1,25.6,118
Sunday,47 - 47W - 15:30,7.4,4,3.2,93.9,2.9,96
Sunday,47 - 47W - 16:00,5.6,9,3.6,91.8,4.7,67
Sunday,47 - 47W - 16:30,6.4,3,4.1,92.5,3.5,90
Sunday,47 - 47W - 17:00,9.3,4,4.6,76.8,18.6,121
Sunday,47 - 47W - 17:30,6.7,5,3,93.8,3.2,87
Sunday,47 - 47W - 18:00,4.3,7,14.9,84.6,0.4,56
Weekday,47 - 47E - 06:00,6.9,2,22.4,76.5,1.1,434
Weekday,47 - 47E - 06:30,19.5,3,5.1,90.5,4.4,"1,249"
Weekday,47 - 47E - 07:00,22.8,4,3.4,64.1,32.5,"1,435"
Weekday,47 - 47E - 07:30,16.3,3,3.6,48.7,47.7,"1,025"
Weekday,47 - 47E - 08:00,9.1,4,4.2,83.3,12.5,566
Weekday,47 - 47E - 08:30,9.9,3,4.3,92.3,3.4,614
Weekday,47 - 47E - 09:00,9.1,8,13.3,83.1,3.6,585
Weekday,47 - 47E - 09:30,11.6,4,5.9,89,5.2,741
Weekday,47 - 47E - 10:00,12,5,5.4,86.5,8.1,745
Weekday,47 - 47E - 10:30,27.7,5,6.4,81.7,11.8,"1,770"
Weekday,47 - 47E - 11:00,11.1,6,9.5,79.6,10.9,642
Weekday,47 - 47E - 11:30,13.1,4,12.3,79.6,8.1,815
Weekday,47 - 47E - 12:00,10.3,13,21.4,72.5,6.1,661
Weekday,47 - 47E - 12:30,11.3,5,9.9,80.4,9.7,721
Weekday,47 - 47E - 13:00,12.2,6,10.4,85.2,4.4,709
Weekday,47 - 47E - 13:30,14.7,5,3.7,85.7,10.6,912
Weekday,47 - 47E - 14:00,17,8,12.1,78.8,9.1,"1,056"
Weekday,47 - 47E - 14:30,32.7,10,8.1,68.3,23.6,"2,062"
Weekday,47 - 47E - 15:00,15.8,14,4.4,81.3,14.4,"1,009"
Weekday,47 - 47E - 15:30,16.8,7,5,60.6,34.3,"1,061"
Weekday,47 - 47E - 16:00,18.1,8,1.3,44.7,54,"1,143"
Weekday,47 - 47E - 16:30,13.7,7,2.2,77.3,20.5,878
Weekday,47 - 47E - 17:00,13.1,7,10.1,83.3,6.6,828
Weekday,47 - 47E - 17:30,13.7,6,8,83.3,8.7,847
Weekday,47 - 47E - 18:00,9.9,21,4.5,88.8,6.7,636
Weekday,47 - 47E - 18:30,7.8,4,13.3,82.9,3.8,485
Weekday,47 - 47E - 19:00,10.5,6,2.7,80.5,16.8,670
Weekday,47 - 47E - 19:30,7.4,5,3.6,81.8,14.6,469
Weekday,47 - 47E - 20:00,7,6,11.2,83.9,4.9,449
Weekday,47 - 47E - 21:00,7.3,21,4.6,90,5.4,467
Weekday,47 - 47W - 06:00,5.9,1,3.4,91.4,5.2,356
Weekday,47 - 47W - 06:30,8.1,3,4.3,92.7,3,519
Weekday,47 - 47W - 07:00,23.7,6,3.7,72.5,23.7,"1,472"
Weekday,47 - 47W - 07:30,10.2,3,2.9,67.6,29.5,625
Weekday,47 - 47W - 08:00,8.9,6,3.5,86.4,10.1,570
Weekday,47 - 47W - 08:30,8.5,3,4.8,90.4,4.8,545
Weekday,47 - 47W - 09:00,11.9,4,2.8,83.8,13.3,726
Weekday,47 - 47W - 09:30,11.7,4,2.5,83.1,14.4,746
Weekday,47 - 47W - 10:00,9.2,6,6.7,88.1,5.2,552
Weekday,47 - 47W - 10:30,12.6,3,1.9,81.1,16.9,792
Weekday,47 - 47W - 11:00,11.8,10,3.9,80.6,15.5,758
Weekday,47 - 47W - 11:30,11.4,5,1.8,68.9,29.2,732
Weekday,47 - 47W - 12:00,11.9,5,2.5,80.2,17.3,701
Weekday,47 - 47W - 12:30,12.1,5,1.2,70,28.8,762
Weekday,47 - 47W - 13:00,16,8,4,79.9,16.1,979
Weekday,47 - 47W - 13:30,15.1,6,2.3,75,22.7,950
Weekday,47 - 47W - 14:00,45.8,24,3.7,70.3,26,"2,887"
Weekday,47 - 47W - 14:30,39.3,10,5.3,44.6,50.1,"2,475"
Weekday,47 - 47W - 15:00,31.5,10,1.1,27.8,71.1,"1,955"
Weekday,47 - 47W - 15:30,17.3,7,13,74.4,12.6,"1,089"
Weekday,47 - 47W - 16:00,14.3,8,32.3,65.7,2.1,898
Weekday,47 - 47W - 16:30,12.6,5,2.5,75.3,22.2,781
Weekday,47 - 47W - 17:00,11.6,16,2.2,78.2,19.6,742
