Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,25 - 25L - 06:45,1.6,0,3.7,88.9,7.4,8
Saturday,25 - 25L - 07:15,1.6,0,6,87.8,6.3,18
Saturday,25 - 25L - 07:45,2.3,0,6.8,93.2,0,21
Saturday,25 - 25L - 08:15,2.5,2,8.3,91.7,0,32
Saturday,25 - 25L - 08:45,2.7,1,6.3,92,1.7,27
Saturday,25 - 25L - 09:15,2.9,1,4.3,95.7,0,38
Saturday,25 - 25L - 09:45,2.4,2,2.8,65.4,31.8,24
Saturday,25 - 25L - 10:15,3.7,2,4,96,0,48
Saturday,25 - 25L - 10:45,4.5,2,3.7,89.7,6.6,59
Saturday,25 - 25L - 11:15,4.3,2,4.4,93.5,2.1,51
Saturday,25 - 25L - 11:45,4.5,2,4.3,88,7.7,50
Saturday,25 - 25L - 12:15,4.6,3,6.8,91.5,1.7,60
Saturday,25 - 25L - 12:45,4.5,3,5,86.2,8.8,54
Saturday,25 - 25L - 13:15,6.2,3,4,88.9,7.1,80
Saturday,25 - 25L - 13:45,3.9,4,4.9,80.6,14.5,43
Saturday,25 - 25L - 14:15,5.5,3,6,94,0,71
Saturday,25 - 25L - 14:45,4.2,5,3.7,96,0.3,46
Saturday,25 - 25L - 15:15,5.9,3,7.1,83.4,9.4,71
Saturday,25 - 25L - 15:45,4.9,6,4.8,89.7,5.4,59
Saturday,25 - 25L - 16:15,4.8,3,4,96,0,57
Saturday,25 - 25L - 16:45,3.5,5,6.8,93.2,0,45
Saturday,25 - 25L - 17:15,4.2,3,10.3,82.3,7.4,55
Saturday,25 - 25L - 17:45,1.8,4,3.7,96.3,0,22
Saturday,25 - 25L - 18:15,4,4,3.7,93.4,2.8,40
Saturday,25 - 25L - 18:45,4.2,6,4,94.3,1.7,55
Weekday,25 - 25L - 05:45,2.7,1,3.6,94.4,2,165
Weekday,25 - 25L - 06:15,3.4,0,8.7,91.3,0,213
Weekday,25 - 25L - 06:45,8.4,2,4.2,95.8,0,523
Weekday,25 - 25L - 07:15,6.6,2,9,88,3,414
Weekday,25 - 25L - 07:45,4.3,2,3.6,96.4,0,262
Weekday,25 - 25L - 08:15,4.1,1,5.3,92.7,2,261
Weekday,25 - 25L - 08:45,4.7,2,3.9,95.5,0.6,295
Weekday,25 - 25L - 09:15,5.6,3,3.9,94.5,1.6,353
Weekday,25 - 25L - 09:45,4.5,2,3.8,94.7,1.5,282
Weekday,25 - 25L - 10:15,5.7,3,4.3,94.3,1.5,358
Weekday,25 - 25L - 10:45,5.3,4,3.6,92.2,4.2,331
Weekday,25 - 25L - 11:15,5.2,4,3.9,87.1,8.9,316
Weekday,25 - 25L - 11:45,6.3,3,3.7,94.3,2,400
Weekday,25 - 25L - 12:15,6.5,4,4.3,87,8.6,413
Weekday,25 - 25L - 12:45,6,4,4.8,92.2,3,386
Weekday,25 - 25L - 13:15,7,4,5.2,91.6,3.2,441
Weekday,25 - 25L - 13:45,6.7,3,9.1,80.8,10.1,425
Weekday,25 - 25L - 14:15,7.7,5,4.6,89.7,5.7,484
Weekday,25 - 25L - 14:45,11.1,7,4.7,67.3,28,701
Weekday,25 - 25L - 15:15,11.9,6,6.4,85,8.5,764
Weekday,25 - 25L - 15:45,7.8,4,10.6,80.4,9,485
Weekday,25 - 25L - 16:15,6.4,5,12.3,82.1,5.6,404
Weekday,25 - 25L - 16:45,6.5,6,3.4,85.1,11.5,406
Weekday,25 - 25L - 17:15,6.5,5,12.3,80.7,6.9,409
Weekday,25 - 25L - 17:45,4.1,3,21.4,75.3,3.3,219
Weekday,25 - 25L - 18:15,4.9,4,5.2,93.1,1.7,301
Weekday,25 - 25L - 18:45,3.9,5,3.9,93.6,2.5,230
Weekday,25 - 25L - 19:15,3.5,3,8.1,91.9,0,209
Weekday,25 - 25L - 19:45,3.3,3,16.8,83.2,0.1,187
