Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,67 - 67E- 07:25,2.4,1,1.1,74.2,24.7,22
Saturday,67 - 67E - 07:55,3.3,2,0.4,92.1,7.5,43
Saturday,67 - 67E - 08:25,2.6,1,0,74.9,25.1,31
Saturday,67 - 67E - 08:56,4.2,0,0,87.8,12.2,50
Saturday,67 - 67E - 09:26,6.4,2,0,41.2,58.8,77
Saturday,67 - 67E - 09:56,6,3,0,41.5,58.5,78
Saturday,67 - 67E - 10:26,6.3,8,0.2,64.3,35.5,82
Saturday,67 - 67E - 10:56,5.3,2,0,56.8,43.2,69
Saturday,67 - 67E - 11:26,7.8,2,0,31.9,68.1,102
Saturday,67 - 67E - 11:57,8.6,5,0,29.5,70.5,112
Saturday,67 - 67E - 12:27,7.6,4,0.2,40.8,59,91
Saturday,67 - 67E - 12:57,6.8,22,0.2,39.6,60.2,81
Saturday,67 - 67E - 13:27,7.6,3,0.2,43.7,56.1,99
Saturday,67 - 67E - 13:57,8.1,1,0,45,55,105
Saturday,67 - 67E - 14:27,9,7,0.2,35.9,63.8,108
Saturday,67 - 67E - 14:57,7.3,5,0.8,42.8,56.3,95
Saturday,67 - 67E - 15:27,7,27,0,30.8,69.2,84
Saturday,67 - 67E - 15:57,5.9,4,0.6,71,28.4,77
Saturday,67 - 67E - 16:27,7.8,2,1,82.6,16.4,101
Saturday,67 - 67E - 16:57,7.3,7,0,51.5,48.5,87
Saturday,67 - 67E - 17:27,6.3,4,0.2,63.3,36.5,75
Saturday,67 - 67E - 17:57,3.5,50,0.5,66,33.6,38
Saturday,67 - 67E - 18:27,4.3,2,0.8,87.5,11.7,52
Saturday,67 - 67E - 18:56,4.8,2,6.5,62.6,30.9,58
Saturday,67 - 67W - 07:00,1.8,1,3.8,87.2,8.9,18
Saturday,67 - 67W - 07:30,3.5,1,4.9,93.6,1.5,39
Saturday,67 - 67W - 08:00,5.3,2,4.3,92.6,3.1,69
Saturday,67 - 67W - 08:30,2.6,0,3.3,96.7,0,31
Saturday,67 - 67W - 09:00,2.2,2,3.6,91.3,5.1,24
Saturday,67 - 67W - 09:30,3.9,2,3.8,92.1,4.1,51
Saturday,67 - 67W - 10:00,3.7,7,4.3,90.8,4.9,48
Saturday,67 - 67W - 10:30,4.4,1,3.3,90.8,5.9,53
Saturday,67 - 67W - 11:00,5.7,1,3.3,80.4,16.3,74
Saturday,67 - 67W - 11:30,5.5,4,2.8,87.4,9.7,60
Saturday,67 - 67W - 12:00,4.9,3,3.6,96.4,0,64
Saturday,67 - 67W - 12:30,6.5,19,3.3,74.6,22.1,78
Saturday,67 - 67W - 13:00,5.6,3,3.6,88.7,7.7,67
Saturday,67 - 67W - 13:30,7.5,1,3.1,90.8,6.1,90
Saturday,67 - 67W - 14:00,5.8,5,4,86.9,9.1,76
Saturday,67 - 67W - 14:30,4.8,6,2.8,88.5,8.7,62
Saturday,67 - 67W - 15:00,4.4,35,2.7,87.5,9.8,57
Saturday,67 - 67W - 15:30,6.2,3,4.1,95.4,0.5,81
Saturday,67 - 67W - 16:00,6.9,3,6.6,92.1,1.3,90
Saturday,67 - 67W - 16:30,7.4,6,3.6,96.4,0,89
Saturday,67 - 67W - 17:00,5.9,5,3.8,91.1,5.1,59
Saturday,67 - 67W - 17:30,4.6,42,4.7,90.9,4.4,51
Saturday,67 - 67W - 18:00,5.7,3,6.6,85.2,8.2,74
Saturday,67 - 67W - 18:30,7.9,4,8.4,88.5,3.1,103
