Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,1 - 1E - 06:56,1.5,0,5.8,94.2,0,15
Saturday,1 - 1E - 07:00,4.7,3,2.8,90.8,6.4,56
Saturday,1 - 1E - 07:20,6.6,2,3.6,95.1,1.3,79
Saturday,1 - 1E - 07:40,8.5,4,7.4,92.3,0.3,110
Saturday,1 - 1E - 08:00,5.3,2,5.6,86.2,8.2,63
Saturday,1 - 1E - 08:20,6.7,3,3.6,94.6,1.8,87
Saturday,1 - 1E - 08:40,11.1,6.5,3.6,93.6,2.8,144
Saturday,1 - 1E - 09:00,5.4,2,4.1,93.1,2.8,70
Saturday,1 - 1E - 09:20,9.8,5,5.9,92.1,2.1,128
Saturday,1 - 1E - 09:40,11.9,6,3.3,93.6,3,131
Saturday,1 - 1E - 10:00,7.8,3,4.1,93.1,2.8,102
Saturday,1 - 1E - 10:20,11.7,8,3.5,88.5,8,152
Saturday,1 - 1E - 10:40,13.2,4,4.1,74.1,21.8,172
Saturday,1 - 1E - 11:00,9.1,7,5.6,92.3,2.1,118
Saturday,1 - 1E - 11:20,12.5,5,3.8,90.8,5.4,162
Saturday,1 - 1E - 11:40,14,7,3.6,84.8,11.6,168
Saturday,1 - 1E - 12:00,10.3,8,3.8,72.9,23.3,134
Saturday,1 - 1E - 12:20,12.4,4,3.6,81.3,15.1,161
Saturday,1 - 1E - 12:40,12.8,7,3.1,68.1,28.8,166
Saturday,1 - 1E - 13:00,8.8,4,3.9,86.1,10,115
Saturday,1 - 1E - 13:20,17.5,8,3.7,87.1,9.2,228
Saturday,1 - 1E - 13:40,17.3,9,4.8,71.9,23.3,207
Saturday,1 - 1E - 14:00,13.1,5,3.3,74,22.6,170
Saturday,1 - 1E - 14:20,14.2,7,3.1,82.6,14.4,184
Saturday,1 - 1E - 14:40,15.5,8,1.8,30.9,67.3,202
Saturday,1 - 1E - 15:00,10.9,5,6.7,86.7,6.7,142
Saturday,1 - 1E - 15:20,16.6,10,4.4,92.1,3.6,216
Saturday,1 - 1E - 15:40,18.7,8,4.4,79.7,15.9,243
Saturday,1 - 1E - 16:00,12.9,6,5.4,89.5,5.1,168
Saturday,1 - 1E - 16:20,18.5,8,3.3,81,15.6,241
Saturday,1 - 1E - 16:40,17.3,9,4.6,90.5,4.9,225
Saturday,1 - 1E - 17:00,9.6,9,4.9,94.9,0.3,125
Saturday,1 - 1E - 17:20,13.9,8,4.6,92.1,3.3,181
Saturday,1 - 1E - 17:40,11.3,8,4.4,95,0.6,147
Saturday,1 - 1E - 18:00,9.5,4,3.6,86.4,10,123
Saturday,1 - 1E - 18:20,11.3,7,4.1,87,9,147
Saturday,1 - 1E - 18:40,11.2,13,5.1,91.3,3.6,146
Saturday,1 - 1E - 19:00,9.2,4,5.1,90.7,4.1,119
Saturday,1 - 1E - 19:20,9.9,8,3.6,94.9,1.5,129
Saturday,1 - 1E - 19:45,11.1,6,3.6,82.8,13.6,144
Saturday,1 - 1E - 20:15,10.2,11,4.6,87.2,8.2,133
Saturday,1 - 1E - 20:45,9.7,6,3.3,88.5,8.2,126
Saturday,1 - 1E - 21:15,8.7,4,4.4,74,21.6,113
Saturday,1 - 1E - 21:45,7.5,14,3.3,93.6,3.1,98
Saturday,1 - 1W - 06:50,7.1,2,3.7,96.3,0,92
Saturday,1 - 1W - 06:53,1.1,0,7.6,89,3.4,8
Saturday,1 - 1W - 07:10,4.7,2,4.8,95.2,0,56
Saturday,1 - 1W - 07:30,8.1,3,3.2,91.1,5.7,105
Saturday,1 - 1W - 07:50,6.8,5,3.6,96.2,0.3,82
Saturday,1 - 1W - 08:10,7.9,4,3.7,77.7,18.6,103
Saturday,1 - 1W - 08:30,11.6,5,3.2,96.8,0,151
Saturday,1 - 1W - 08:50,7.1,4,3.2,82,14.8,85
Saturday,1 - 1W - 09:10,6.8,3,3.2,72.7,24.1,88
Saturday,1 - 1W - 09:30,10.5,8,3.2,80.6,16.1,136
Saturday,1 - 1W - 09:50,12.9,6,3.2,67.7,29,168
Saturday,1 - 1W - 10:10,12.7,7,5.2,87.1,7.7,165
Saturday,1 - 1W - 10:30,13.4,5,3.2,66.4,30.4,161
Saturday,1 - 1W - 10:50,9.8,5,3.5,72.1,24.4,127
Saturday,1 - 1W - 11:10,11.5,9,3.3,67.9,28.8,150
Saturday,1 - 1W - 11:30,12.9,5,3,58.1,39,168
Saturday,1 - 1W - 11:50,12.8,8,9.4,86.8,3.7,167
Saturday,1 - 1W - 12:10,14.2,6,3,68.7,28.3,184
Saturday,1 - 1W - 12:30,13.3,6,3,81.8,15.2,173
Saturday,1 - 1W - 12:50,14.5,12,4.2,65.7,30.1,189
Saturday,1 - 1W - 13:10,13.4,6,3.2,60,36.7,174
Saturday,1 - 1W - 13:30,16.6,9,2.7,62.4,34.8,216
Saturday,1 - 1W - 13:50,12.4,4,3.2,63.3,33.5,161
Saturday,1 - 1W - 14:10,15.4,7,3.5,69.3,27.2,200
Saturday,1 - 1W - 14:30,16.5,9,2.8,75,22.2,214
Saturday,1 - 1W - 14:50,12.4,4,2.2,78,19.8,149
Saturday,1 - 1W - 15:10,14.2,8,4.6,71.2,24.2,170
Saturday,1 - 1W - 15:30,17.9,6,1.5,39.7,58.9,233
Saturday,1 - 1W - 15:50,15.8,10,5,64,31,205
Saturday,1 - 1W - 16:10,11.8,9,7.4,88.6,4,154
Saturday,1 - 1W - 16:30,15.4,4,5.2,76.9,17.9,200
Saturday,1 - 1W - 16:50,11.4,6,4.7,78.8,16.5,148
Saturday,1 - 1W - 17:10,11.2,5,4.5,60,35.6,145
Saturday,1 - 1W - 17:30,10.4,6,6.5,89.1,4.5,135
Saturday,1 - 1W - 17:50,11.3,10,5,84.9,10.1,147
Saturday,1 - 1W - 18:10,10.7,4,6.9,84.9,8.2,139
Saturday,1 - 1W - 18:30,9.4,6,3.3,89.9,6.8,122
Saturday,1 - 1W - 18:50,10.5,6,3.2,76.2,20.6,137
Saturday,1 - 1W - 19:10,9.5,7,5,91.8,3.2,124
Saturday,1 - 1W - 19:30,10.1,12,4,89.8,6.2,131
Saturday,1 - 1W - 20:00,11.3,6,3.3,82.3,14.4,147
Saturday,1 - 1W - 20:30,8.2,4,4.2,68.7,27,107
Saturday,1 - 1W - 21:00,6.8,10.5,3.5,91.3,5.2,89
Saturday,1 - 1W - 21:30,6.6,4,4,83.6,12.4,86
Sunday,1 - 1E - 08:01,5.2,2,5.6,87.3,7.1,68
Sunday,1 - 1E - 08:15,6.9,2,9.8,90.2,0,97
Sunday,1 - 1E - 08:45,6.4,3,5,83.2,11.8,89
Sunday,1 - 1E - 09:15,7.5,3,6,93.6,0.5,98
Sunday,1 - 1E - 09:45,9.3,3,8.6,91,0.5,130
Sunday,1 - 1E - 10:15,7.2,3,5.5,82.6,11.9,93
Sunday,1 - 1E - 10:45,7.8,5,6.9,92.8,0.2,101
Sunday,1 - 1E - 11:15,12.4,3,11,87.1,1.9,174
Sunday,1 - 1E - 11:45,12.5,6,5,86.4,8.6,163
Sunday,1 - 1E - 12:15,13.4,10,7.4,86.7,5.9,174
Sunday,1 - 1E - 12:45,14.4,5,8.4,88.7,2.9,202
Sunday,1 - 1E - 13:15,13.6,8,5.3,86.6,8.1,190
Sunday,1 - 1E - 13:45,15.2,9,7.6,87.9,4.5,198
Sunday,1 - 1E - 14:15,13.3,4,11,86.7,2.4,186
Sunday,1 - 1E - 14:45,14,7.5,6,82.9,11.2,182
Sunday,1 - 1E - 15:15,13.5,13.5,6.7,92.4,1,175
Sunday,1 - 1E - 15:45,16,5,10,87.9,2.1,224
Sunday,1 - 1E - 16:15,17,10,4.5,82.1,13.3,221
Sunday,1 - 1E - 16:45,13.8,9,5.5,88.6,6,180
Sunday,1 - 1E - 17:15,10.8,3,10.7,89.3,0,151
Sunday,1 - 1E - 17:45,10.8,6,5,94.3,0.7,141
Sunday,1 - 1E - 18:15,2,5,12.5,87.5,0,16
Sunday,1 - 1W - 08:00,7.6,3,4.2,82.2,13.7,99
Sunday,1 - 1W - 08:30,5.8,3,3.7,94.2,2.1,70
Sunday,1 - 1W - 09:00,7.5,5,10.9,88.9,0.2,97
Sunday,1 - 1W - 09:30,7.2,5,3.5,90.1,6.4,93
Sunday,1 - 1W - 10:00,8.4,5,3.9,85,11.1,109
Sunday,1 - 1W - 10:30,9.6,7,7.2,89.6,3.2,125
Sunday,1 - 1W - 11:00,12.2,5,6.7,87.8,5.5,159
Sunday,1 - 1W - 11:30,15.5,9,8.1,85,6.9,201
Sunday,1 - 1W - 12:00,10.4,8,10.5,88.8,0.7,135
Sunday,1 - 1W - 12:30,11.1,6,3.5,86.4,10.1,144
Sunday,1 - 1W - 13:00,12.5,8,5.5,84.6,9.9,162
Sunday,1 - 1W - 13:30,11.3,9,5,70.5,24.5,147
Sunday,1 - 1W - 14:00,11.9,7,6,73.8,20.1,155
Sunday,1 - 1W - 14:30,11.7,6,5.5,70.6,23.9,152
Sunday,1 - 1W - 15:00,13.2,10,3.2,82.3,14.5,171
Sunday,1 - 1W - 15:30,10.8,8,3.9,80.5,15.6,141
Sunday,1 - 1W - 16:00,11.8,8,9,88,3,165
Sunday,1 - 1W - 16:30,9.5,9,6,83.1,10.9,133
Sunday,1 - 1W - 17:00,8.9,6.5,3.9,92.2,3.9,107
Sunday,1 - 1W - 17:30,11.1,8,7.7,85.5,6.8,144
Sunday,1 - 1W - 18:00,9.4,12,5.8,93.7,0.5,131
Weekday,1 - 1E - 06:00,3.2,1,3.6,90.3,6,183
Weekday,1 - 1E - 06:01,3.2,1,4.7,92.3,3,188
Weekday,1 - 1E - 06:15,7.1,2,3.5,93.1,3.4,438
Weekday,1 - 1E - 06:30,10.5,2,9.3,89.2,1.6,651
Weekday,1 - 1E - 06:45,15.8,4,4.2,92.6,3.1,996
Weekday,1 - 1E - 07:00,8.7,1,3.6,91.5,4.9,540
Weekday,1 - 1E - 07:15,10.6,4,4.1,91.9,4,657
Weekday,1 - 1E - 07:30,9,5,3.4,85,11.6,575
Weekday,1 - 1E - 07:45,10.6,4,3.3,85.3,11.3,667
Weekday,1 - 1E - 08:00,10.7,4,9,86.5,4.5,682
Weekday,1 - 1E - 08:15,13.4,5,4,89.2,6.8,846
Weekday,1 - 1E - 08:30,7.7,3,5.1,89.9,5,487
Weekday,1 - 1E - 08:45,12.8,6,4.1,90.1,5.9,792
Weekday,1 - 1E - 09:00,12.2,8,3.2,85.2,11.6,778
Weekday,1 - 1E - 09:15,14.3,7,2.9,77.4,19.7,903
Weekday,1 - 1E - 09:30,9.4,4,8.8,89.3,1.9,603
Weekday,1 - 1E - 09:45,12.6,6,3.6,86.5,9.9,779
Weekday,1 - 1E - 10:00,10.3,4,6.2,89.7,4,651
Weekday,1 - 1E - 10:15,15.7,7,3.5,81.2,15.3,990
Weekday,1 - 1E - 10:30,10.9,7,3,78.1,18.9,699
Weekday,1 - 1E - 10:40,11.6,4,2.4,81,16.5,745
Weekday,1 - 1E - 10:55,10.5,5,4.2,81.8,14,663
Weekday,1 - 1E - 11:10,18.4,7,6.2,86.6,7.1,"1,175"
Weekday,1 - 1E - 11:25,11,6,7.2,82.9,9.9,684
Weekday,1 - 1E - 11:40,15.2,7,11.5,79.7,8.7,941
Weekday,1 - 1E - 11:55,13.6,7,5.6,71.9,22.6,859
Weekday,1 - 1E - 12:10,19.2,11,4.1,58.5,37.4,"1,227"
Weekday,1 - 1E - 12:25,11.2,5,6.4,78.9,14.7,706
Weekday,1 - 1E - 12:40,16.8,9,4.7,67.2,28.1,"1,060"
Weekday,1 - 1E - 12:55,13.2,6,20.7,72,7.4,843
Weekday,1 - 1E - 13:10,17.3,6,4,71,25,"1,057"
Weekday,1 - 1E - 13:25,11.9,6,13.7,82.9,3.5,747
Weekday,1 - 1E - 13:40,18,8,3.1,59,37.9,"1,113"
Weekday,1 - 1E - 13:55,12.3,10,6.6,78.7,14.7,788
Weekday,1 - 1E - 14:10,20.2,10,7.4,77.3,15.3,"1,294"
Weekday,1 - 1E - 14:25,12.8,7,13.6,76.4,10,770
Weekday,1 - 1E - 14:40,22.3,12,6,70.8,23.2,"1,405"
Weekday,1 - 1E - 14:55,17.2,7,5,79.6,15.4,"1,069"
Weekday,1 - 1E - 15:10,19,7,5.6,74.5,20,"1,162"
Weekday,1 - 1E - 15:25,16,6,4.4,78.3,17.3,"1,023"
Weekday,1 - 1E - 15:40,22.1,16,5.9,76.5,17.6,"1,414"
