Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,240 - 240E - 07:45,1,0,9,91,0,5
Saturday,240 - 240E - 08:45,1.9,1,9.1,90.9,0,13
Saturday,240 - 240E - 09:45,1.7,1,9.1,90.9,0,15
Saturday,240 - 240E - 10:45,2.3,1,9.1,90.2,0.8,18
Saturday,240 - 240E - 11:45,2,1,9.1,90.9,0,14
Saturday,240 - 240E - 12:45,1.9,1,9.1,88.6,2.3,13
Saturday,240 - 240E - 13:45,2.4,2,9.1,90.9,0,24
Saturday,240 - 240E - 14:45,3.3,2,9.1,90.2,0.8,26
Saturday,240 - 240E - 15:45,2.1,2,9.1,89.4,1.5,21
Saturday,240 - 240E - 16:45,2.2,2,7,86.7,6.3,20
Saturday,240 - 240E - 17:45,3,3,9.1,89.5,1.4,24
Saturday,240 - 240E - 18:45,1.3,2,9.1,90.9,0,9
Saturday,240 - 240E - 19:45,1.4,3,9.1,90.9,0,10
Saturday,240 - 240W - 07:15,1.2,0,6.7,93.3,0,6
Saturday,240 - 240W - 08:15,2.4,1,10,90,0,26
Saturday,240 - 240W - 09:15,1.3,1,10.8,82.5,6.7,9
Saturday,240 - 240W - 10:15,2.3,2,11.7,88.3,0,18
Saturday,240 - 240W - 11:15,1.7,1,11.7,84.2,4.2,12
Saturday,240 - 240W - 12:15,2,2,10,80.8,9.2,20
Saturday,240 - 240W - 13:15,2.1,1,10.8,85,4.2,19
Saturday,240 - 240W - 14:15,1.5,1,10.8,89.2,0,12
Saturday,240 - 240W - 15:15,2.7,2,10,90,0,24
Saturday,240 - 240W - 16:15,2.4,2,10.8,84.2,5,24
Saturday,240 - 240W - 17:15,2.6,3,9.2,83.1,7.7,34
Saturday,240 - 240W - 18:15,2.8,3,10,90,0,28
Saturday,240 - 240W - 19:15,2.3,2,10.8,82.3,6.9,25
Weekday,240 - 240E - 06:45,3.8,2,9.2,90.8,0,234
Weekday,240 - 240E - 07:45,2,1,9.1,90.6,0.3,78
Weekday,240 - 240E - 08:45,1.7,1,8.9,88.2,2.9,76
Weekday,240 - 240E - 09:45,1.9,2,9.1,90,0.9,93
Weekday,240 - 240E - 10:45,3.2,2,9.1,89,1.9,193
Weekday,240 - 240E - 11:45,2.1,2,9.1,88.3,2.6,104
Weekday,240 - 240E - 12:45,2.9,2,9.2,90.6,0.1,149
Weekday,240 - 240E - 13:45,2.6,2,9.1,87.3,3.6,131
Weekday,240 - 240E - 14:45,3.5,4,9.1,87.6,3.3,216
Weekday,240 - 240E - 15:45,4.1,5,9.1,90.3,0.6,260
Weekday,240 - 240E - 16:45,2.9,3,9.2,87.1,3.7,143
Weekday,240 - 240E - 17:45,2.2,3,9.1,88.8,2.1,87
Weekday,240 - 240E - 18:45,1.8,3,9.2,88.9,1.8,86
Weekday,240 - 240E - 19:45,1.5,2,9.1,90.9,0,44
Weekday,240 - 240W - 06:15,1.6,2,11.3,88,0.8,95
Weekday,240 - 240W - 07:15,4.7,4,10,88.9,1.1,293
Weekday,240 - 240W - 08:15,2.5,2,10,85.9,4.1,125
Weekday,240 - 240W - 09:15,2,2,9.9,87.9,2.2,105
Weekday,240 - 240W - 10:15,3.1,3,9.9,86.9,3.1,183
Weekday,240 - 240W - 11:15,2.4,2,9.9,86.2,3.9,123
Weekday,240 - 240W - 12:15,2.6,2,9.9,86.2,3.9,104
Weekday,240 - 240W - 13:15,2,2,8,88.6,3.4,87
Weekday,240 - 240W - 14:15,4,4,10.2,89.2,0.6,252
Weekday,240 - 240W - 15:15,3.7,3,10,81.7,8.3,217
Weekday,240 - 240W - 16:15,2.8,3,9.8,85.3,4.8,158
Weekday,240 - 240W - 17:15,2.5,2,10.2,86.7,3.1,113
Weekday,240 - 240W - 18:15,2.2,3,10,89.5,0.5,103
Weekday,240 - 240W - 19:15,1.8,3,11.1,88.3,0.7,53
