Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Weekday,68 - 68E - 06:26,1.7,1,9,89.6,1.4,48
Weekday,68 - 68E - 06:57,3.8,3,15.6,82.2,2.1,219
Weekday,68 - 68E - 07:27,3.6,3,0.5,45.5,54,222
Weekday,68 - 68E - 07:58,3.1,6,2.4,71.5,26.1,185
Weekday,68 - 68E - 08:28,3.6,2,7.1,82.2,10.7,187
Weekday,68 - 68E - 08:58,4.9,7,0.9,84.7,14.4,300
Weekday,68 - 68E - 09:27,4.3,3,1.4,89.6,9,255
Weekday,68 - 68E - 09:57,6.3,6,2,86,12,380
Weekday,68 - 68E - 10:27,5.3,3,1.3,94.7,4.1,339
Weekday,68 - 68E - 10:58,7.9,6,6.4,87.6,6,504
Weekday,68 - 68E - 11:28,7.5,4,2.5,93.2,4.3,483
Weekday,68 - 68E - 11:58,8,7,2.5,91,6.5,506
Weekday,68 - 68E - 12:27,11.7,6,1.4,80,18.5,736
Weekday,68 - 68E - 12:57,7.1,6,2.4,91.2,6.3,432
Weekday,68 - 68E - 13:27,12.6,7,1.8,86.1,12,794
Weekday,68 - 68E - 13:57,16.7,8,1.3,75.6,23.1,"1,066"
Weekday,68 - 68E - 14:28,6.6,4,27.3,68.6,4.1,398
Weekday,68 - 68E - 14:59,20.6,30,3.4,40.3,56.2,"1,297"
Weekday,68 - 68E - 15:29,8.4,5,7.9,63.7,28.4,514
Weekday,68 - 68E - 15:59,3.8,11,3.9,66.4,29.7,220
Weekday,68 - 68E - 16:29,4.8,4,2.6,82.6,14.9,292
Weekday,68 - 68E - 16:59,2.8,7,12.1,81,6.9,132
Weekday,68 - 68E - 17:29,3.3,2,1.8,82.9,15.3,163
Weekday,68 - 68E - 17:58,2.6,6,5.2,84.6,10.2,137
Weekday,68 - 68E - 18:27,3.1,2,1.9,92.2,6,155
Weekday,68 - 68E - 18:57,2.5,7,5.8,82.6,11.6,92
Weekday,68 - 68E - 19:27,2,1,5.9,92.2,1.9,79
Weekday,68 - 68E - 19:56,2.3,5,7.7,84,8.4,85
Weekday,68 - 68W - 06:00,2.6,0,4.2,90.6,5.2,66
Weekday,68 - 68W - 06:30,4.2,4,4.9,93.7,1.4,238
Weekday,68 - 68W - 07:00,20.5,24,5.5,92.8,1.8,"1,289"
Weekday,68 - 68W - 07:30,8.3,6.5,15.7,82.9,1.5,521
Weekday,68 - 68W - 08:00,8.5,7,6.7,88.9,4.4,500
Weekday,68 - 68W - 08:30,6.5,5,10.2,89.8,0,416
Weekday,68 - 68W - 09:00,9.4,8,5.3,90.5,4.2,574
Weekday,68 - 68W - 09:30,4.5,4,7.1,91.7,1.2,281
Weekday,68 - 68W - 10:00,8,6,5.3,93.4,1.3,481
Weekday,68 - 68W - 10:30,4.9,4,6,93.1,0.8,301
Weekday,68 - 68W - 11:00,5.6,5,5.8,90.5,3.7,323
Weekday,68 - 68W - 11:30,5.7,5,5.5,87.9,6.6,362
Weekday,68 - 68W - 12:00,6.7,7,5.4,86.8,7.7,394
Weekday,68 - 68W - 12:30,4.6,4,6.1,90.1,3.7,283
Weekday,68 - 68W - 13:00,4.2,5,6,91.2,2.8,232
Weekday,68 - 68W - 13:30,6.5,6,5.4,92.5,2.2,397
Weekday,68 - 68W - 14:00,9.1,6,6.8,88,5.2,539
Weekday,68 - 68W - 14:30,25.3,7,5.5,83.1,11.5,"1,591"
Weekday,68 - 68W - 15:00,6.9,7,1.4,58.2,40.3,377
Weekday,68 - 68W - 15:30,3.8,4,3.2,74.3,22.5,200
Weekday,68 - 68W - 16:00,4.9,5,3.3,51.3,45.5,237
Weekday,68 - 68W - 16:30,3.2,3,3.1,69.9,27,164
Weekday,68 - 68W - 17:00,4.2,5,3.5,59.7,36.9,222
Weekday,68 - 68W - 17:30,2.3,3,4.8,87.7,7.5,117
Weekday,68 - 68W - 18:00,3.7,5,4,65.5,30.5,191
Weekday,68 - 68W - 18:30,2.7,3,5.3,90.6,4.2,125
Weekday,68 - 68W - 19:00,2.4,3,5.5,84.3,10.2,100
Weekday,68 - 68W - 19:30,2.8,3,5.7,92.9,1.4,107
Weekday,68 - 68W - 20:00,2.4,3,5.3,82.4,12.3,57
