Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,48 - 48E - 07:00,3.3,1,4.7,87.6,7.7,40
Saturday,48 - 48E - 07:30,2.9,2,3.6,95.9,0.5,32
Saturday,48 - 48E - 08:00,2.1,1,5.5,94.5,0,23
Saturday,48 - 48E - 08:30,3.5,3,4.7,86.5,8.8,45
Saturday,48 - 48E - 09:00,2.6,0,8.2,91,0.8,21
Saturday,48 - 48E - 09:30,2.4,1,3.6,91.2,5.2,31
Saturday,48 - 48E - 10:00,2.6,2,7.4,89.3,3.3,29
Saturday,48 - 48E - 10:30,2.4,2,2.8,88.2,9,29
Saturday,48 - 48E - 11:00,2.9,1,4.9,94.5,0.5,20
Saturday,48 - 48E - 11:30,3.6,5,5.8,94,0.3,43
Saturday,48 - 48E - 12:00,2.9,1,4.2,95.3,0.6,23
Saturday,48 - 48E - 12:30,3.3,2,3.6,96.4,0,33
Saturday,48 - 48E - 13:00,3.1,3,5.8,94.2,0,40
Saturday,48 - 48E - 13:30,3.9,2,3.9,96.1,0,47
Saturday,48 - 48E - 14:00,4.5,3,3.6,81.8,14.6,58
Saturday,48 - 48E - 14:30,3.1,5,6,90.4,3.6,31
Saturday,48 - 48E - 15:00,4,2,4.4,94.5,1.1,52
Saturday,48 - 48E - 15:30,4.4,2,5.1,94.9,0,44
Saturday,48 - 48E - 16:00,4.7,4,3.6,85.5,11,61
Saturday,48 - 48E - 16:30,4.3,5,3.6,84.8,11.6,56
Saturday,48 - 48E - 17:00,4.8,5,3.6,89,7.4,63
Saturday,48 - 48E - 17:30,3.8,13,7.4,92.6,0,49
Saturday,48 - 48E - 18:00,3.8,2,5.2,93.1,1.6,49
Saturday,48 - 48E - 18:30,2.9,4,11.6,88.4,0,29
Saturday,48 - 48W - 07:00,2,1,2.6,96.4,1,16
Saturday,48 - 48W - 07:30,1.8,1,3,97,0,14
Saturday,48 - 48W - 08:00,4.3,4,3.3,96.4,0.3,56
Saturday,48 - 48W - 08:30,4.9,2,3.4,95.3,1.3,64
Saturday,48 - 48W - 09:00,2.9,1,3.3,96.7,0,38
Saturday,48 - 48W - 09:30,3.2,3,7.9,92.1,0,42
Saturday,48 - 48W - 10:00,5.2,4,5.9,94.1,0,68
Saturday,48 - 48W - 10:30,6.3,4,3.3,94.1,2.6,82
Saturday,48 - 48W - 11:00,3.7,7,3.8,91.5,4.6,44
Saturday,48 - 48W - 11:30,3.8,2,3.6,96.4,0,46
Saturday,48 - 48W - 12:00,3.9,2,3.4,95.9,0.8,51
Saturday,48 - 48W - 12:30,4.8,4,3.3,92.6,4.1,57
