Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,26 - 26N - 07:00,1.3,1,3.6,96.4,0,10
Saturday,26 - 26N - 07:20,1.5,0,12.9,81.9,5.2,9
Saturday,26 - 26N - 07:40,1.7,1,4.7,95.3,0,12
Saturday,26 - 26N - 08:00,1.3,0,17.3,81,1.6,9
Saturday,26 - 26N - 08:20,1.5,1,5.3,94.7,0,6
Saturday,26 - 26N - 08:40,1.8,1,8.2,87.1,4.7,20
Saturday,26 - 26N - 09:00,1.9,3,3.6,96.4,0,19
Saturday,26 - 26N - 09:20,1.9,1,7.5,92.2,0.3,21
Saturday,26 - 26N - 09:40,2.3,3,3.6,96.4,0,25
Saturday,26 - 26N - 10:00,2,1,6.9,90.4,2.7,16
Saturday,26 - 26N - 10:20,2.3,3,3.6,96.4,0,28
Saturday,26 - 26N - 10:40,3.9,2,5.8,86.8,7.4,47
Saturday,26 - 26N - 11:00,2.6,3,3.6,96.4,0,18
Saturday,26 - 26N - 11:20,2.8,1,3.3,96.4,0.3,28
Saturday,26 - 26N - 11:40,4.3,4,3.6,96.4,0,43
Saturday,26 - 26N - 12:00,2.8,2,3.6,96.4,0,33
Saturday,26 - 26N - 12:20,2.8,4,3.6,96.4,0,33
Saturday,26 - 26N - 12:40,4.2,3,3.6,95.3,1.1,50
Saturday,26 - 26N - 13:00,3.7,3,3.3,96.7,0,33
Saturday,26 - 26N - 13:20,3.2,2,3.6,96.2,0.3,38
Saturday,26 - 26N - 13:40,4.2,7,3.6,91.6,4.8,50
Saturday,26 - 26N - 14:00,2.7,2,3.6,96.2,0.3,30
Saturday,26 - 26N - 14:20,2.7,4,3.4,96.6,0,30
Saturday,26 - 26N - 14:40,3.6,3,3.6,96.4,0,43
Saturday,26 - 26N - 15:00,3.3,4,3,97,0,36
Saturday,26 - 26N - 15:20,2.8,2,4.1,95.9,0,37
Saturday,26 - 26N - 15:40,3.3,6,3.6,96.2,0.3,40
Saturday,26 - 26N - 16:00,2.5,2,4.1,95.9,0,28
Saturday,26 - 26N - 16:20,4.6,8,3.6,96.4,0,55
Saturday,26 - 26N - 16:40,4.6,4,3,97,0,55
Saturday,26 - 26N - 17:00,2.6,6,3.6,96.4,0,31
Saturday,26 - 26N - 17:20,3.4,2.5,4.1,95.9,0,34
Saturday,26 - 26N - 17:40,3.5,9,3.6,96.4,0,46
Saturday,26 - 26N - 18:00,1.7,3,3.6,96.4,0,15
Saturday,26 - 26N - 18:20,3.4,5,3.9,96.1,0,44
Saturday,26 - 26N - 18:40,2.9,2,3.6,96.4,0,26
Saturday,26 - 26S - 07:18,2.5,1,0.7,99.3,0,15
Saturday,26 - 26S - 07:38,2.3,0,14.3,85.7,0,9
Saturday,26 - 26S - 07:58,1.3,1,0,100,0,10
Saturday,26 - 26S - 08:18,2,1,13.2,85.3,1.5,24
Saturday,26 - 26S - 08:38,2.1,2,0.4,99.6,0,19
Saturday,26 - 26S - 08:58,2.2,1,5.9,88.6,5.5,24
Saturday,26 - 26S - 09:17,2.4,3,0,100,0,26
Saturday,26 - 26S - 09:37,2,2,15.8,84.2,0,22
Saturday,26 - 26S - 09:57,2.4,3,0.4,99.6,0,31
Saturday,26 - 26S - 10:17,2.5,2,7,93,0,30
Saturday,26 - 26S - 10:37,2.2,2,0.4,99.6,0,20
Saturday,26 - 26S - 10:57,1.9,2,5.1,89.4,5.5,23
Saturday,26 - 26S - 11:17,2.7,5,0,99.6,0.4,30
Saturday,26 - 26S - 11:37,2.2,2,0,92.7,7.3,29
Saturday,26 - 26S - 11:57,3.5,3,0,99.6,0.4,35
Saturday,26 - 26S - 12:17,2.6,1,0,100,0,23
Saturday,26 - 26S - 12:37,3.3,4,0,100,0,33
Saturday,26 - 26S - 12:57,3.4,3,0,91.9,8.1,41
Saturday,26 - 26S - 13:17,3.6,4,0,97.8,2.2,36
Saturday,26 - 26S - 13:37,3.3,2,0,93.8,6.3,36
Saturday,26 - 26S - 13:57,4.7,9,0,92.8,7.2,52
Saturday,26 - 26S - 14:17,4.1,2,0,92.3,7.7,53
Saturday,26 - 26S - 14:37,3.8,4,0,100,0,49
Saturday,26 - 26S - 14:58,3.9,3,0,100,0,47
Saturday,26 - 26S - 15:18,4,7,0,92.3,7.7,48
Saturday,26 - 26S - 15:38,2.6,2,4,96,0,29
Saturday,26 - 26S - 15:58,4.2,7,0,94.9,5.1,55
Saturday,26 - 26S - 16:17,3.6,3,1.1,98.5,0.4,47
Saturday,26 - 26S - 16:37,2.5,8,0,100,0,28
Saturday,26 - 26S - 16:57,2.7,3,0.4,96.3,3.3,27
Saturday,26 - 26S - 17:17,3.7,9,0,94.9,5.1,37
Saturday,26 - 26S - 17:37,1.8,2,1.5,98.5,0,24
Saturday,26 - 26S - 17:57,2.3,8,0,99.6,0.4,21
Saturday,26 - 26S - 18:17,1.4,3,0,100,0,14
Saturday,26 - 26S - 18:37,2.1,6,0.4,99.6,0,19
Saturday,26 - 26S - 18:57,2.3,2,0,97.4,2.6,16
Weekday,26 - 26N - 06:00,1.6,1,3.4,96.6,0,80
Weekday,26 - 26N - 06:20,6.8,2,4.2,95.8,0,403
Weekday,26 - 26N - 06:40,2.9,2,5.9,91.1,3,179
Weekday,26 - 26N - 07:00,4.7,2,4.9,95.1,0,275
Weekday,26 - 26N - 07:20,8.6,4,4.5,94.7,0.8,552
Weekday,26 - 26N - 07:40,6.9,5,3.7,94.6,1.7,444
Weekday,26 - 26N - 08:00,3.4,3,5.2,94.7,0.1,209
Weekday,26 - 26N - 08:20,6.7,5,6.8,92.5,0.7,429
Weekday,26 - 26N - 08:40,8.1,6,3.7,95.6,0.7,519
Weekday,26 - 26N - 09:00,3.3,3,5.2,94.8,0,184
Weekday,26 - 26N - 09:20,4.9,5,4,94.2,1.8,311
Weekday,26 - 26N - 09:40,5.4,5,3.8,94.9,1.4,335
Weekday,26 - 26N - 10:00,4,3,4.4,95.5,0.1,246
Weekday,26 - 26N - 10:20,3.7,4,5.7,92.5,1.8,201
Weekday,26 - 26N - 10:40,6.3,5,3.5,94.8,1.7,404
Weekday,26 - 26N - 11:00,3.6,3,6.6,91.7,1.7,198
Weekday,26 - 26N - 11:20,4.5,4,3.9,94.1,2,277
Weekday,26 - 26N - 11:40,5.3,5,3.9,93.7,2.5,320
Weekday,26 - 26N - 12:00,5.7,5,3.6,94.9,1.5,352
Weekday,26 - 26N - 12:20,4.6,5,4,92.9,3.1,274
Weekday,26 - 26N - 12:40,6.1,5,3.8,96.1,0.1,390
Weekday,26 - 26N - 13:00,5.7,5,7.1,91.5,1.4,306
Weekday,26 - 26N - 13:20,3.6,5,2.1,91.4,6.5,211
Weekday,26 - 26N - 13:40,6.4,6,4.7,94.7,0.5,389
Weekday,26 - 26N - 14:00,5.5,5,3.3,86.4,10.3,334
Weekday,26 - 26N - 14:20,5.5,7,4,95.3,0.7,337
Weekday,26 - 26N - 14:40,9.9,8,3.3,80.4,16.3,614
Weekday,26 - 26N - 15:00,9.2,8,4.9,94,1.1,561
Weekday,26 - 26N - 15:20,9.6,7,3.5,81.9,14.7,603
Weekday,26 - 26N - 15:40,9.6,9,4,91.4,4.7,607
Weekday,26 - 26N - 16:00,6,6,3,88.4,8.6,373
Weekday,26 - 26N - 16:20,5.8,8,4.2,90.7,5.2,360
Weekday,26 - 26N - 16:40,6.6,6,3.5,78.7,17.8,396
Weekday,26 - 26N - 17:00,4.7,7,5,89.3,5.7,279
Weekday,26 - 26N - 17:20,3.6,6,3.3,82.2,14.5,211
Weekday,26 - 26N - 17:40,4.2,8,4.4,92.4,3.2,263
Weekday,26 - 26N - 18:00,3.7,6,3.8,88.5,7.7,212
Weekday,26 - 26N - 18:20,4,7,6.5,89.9,3.6,238
Weekday,26 - 26N - 18:40,4.1,6,3.5,91.6,4.8,252
Weekday,26 - 26N - 19:00,2.7,6,5.5,90.4,4.1,152
Weekday,26 - 26N - 19:20,2.7,5,3.7,95.5,0.9,122
Weekday,26 - 26N - 19:40,2.7,6,5.7,91.9,2.4,149
Weekday,26 - 26N - 20:00,2.8,5,3.8,95.9,0.3,129
Weekday,26 - 26N - 20:30,2.9,6,4.6,93,2.3,154
Weekday,26 - 26N - 21:00,1.9,5,5,89.5,5.5,73
Weekday,26 - 26N - 21:30,1.7,5,4.5,87.6,7.9,60
Weekday,26 - 26S - 06:17,4.6,3,0.7,99,0.4,282
Weekday,26 - 26S - 06:38,2.1,2,0.2,99.5,0.4,105
Weekday,26 - 26S - 06:58,3.5,2,0.9,95.3,3.8,212
Weekday,26 - 26S - 07:19,2.1,2,1.2,98.8,0,123
Weekday,26 - 26S - 07:39,2.6,2,1.9,92,6,151
Weekday,26 - 26S - 07:59,3.2,3,0.8,92.1,7,186
Weekday,26 - 26S - 08:19,2.9,3,2.3,96.1,1.6,165
Weekday,26 - 26S - 08:39,4.9,4,4.1,93.1,2.8,310
Weekday,26 - 26S - 08:59,3.8,4,1,90.8,8.3,226
Weekday,26 - 26S - 09:18,2.1,3,5.6,94.2,0.2,117
Weekday,26 - 26S - 09:38,3,4,0.9,92.9,6.2,189
Weekday,26 - 26S - 09:58,3.2,4,1.8,92.9,5.4,177
Weekday,26 - 26S - 10:18,4,4,1.1,96.4,2.5,234
Weekday,26 - 26S - 10:38,2.7,3,6.2,90.6,3.2,147
Weekday,26 - 26S - 10:58,2.9,4,1.8,91.9,6.3,182
Weekday,26 - 26S - 11:18,3.8,5,3.4,94,2.5,227
Weekday,26 - 26S - 11:38,3.4,5,2,94.3,3.7,212
Weekday,26 - 26S - 11:58,4.2,5,1.3,91.9,6.9,241
Weekday,26 - 26S - 12:18,3.1,5,0.5,92.5,7,180
Weekday,26 - 26S - 12:38,4.8,5,1,94.2,4.8,285
Weekday,26 - 26S - 12:58,5.7,5,0.3,99.2,0.5,364
Weekday,26 - 26S - 13:18,3.5,6,5.1,94.7,0.2,199
Weekday,26 - 26S - 13:38,5.6,7,0.1,84.8,15.1,355
Weekday,26 - 26S - 13:58,5,6,2.1,94.6,3.3,287
Weekday,26 - 26S - 14:18,5.3,6,0.3,83.1,16.6,328
