Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Weekday,27 - 27N - 05:20,0,0,16.5,82.7,0.8,0
Weekday,27 - 27N - 05:40,1,0,19.6,78.9,1.4,2
Weekday,27 - 27N - 06:00,1,0,14.6,82.2,3.1,3
Weekday,27 - 27N - 06:20,1.3,0,15.5,84.1,0.4,35
Weekday,27 - 27N - 06:40,1.1,0,13.4,85.4,1.2,30
Weekday,27 - 27N - 07:00,2.1,1,18.5,80.4,1.2,116
Weekday,27 - 27N - 07:20,1.8,1,12.1,86.3,1.6,82
Weekday,27 - 27N - 07:40,1.4,0,12.9,79,8.1,43
Weekday,27 - 27N - 08:00,1.7,1,12.9,85.3,1.8,75
Weekday,27 - 27N - 08:20,1.4,0,15.4,80.6,4,24
Weekday,27 - 27N - 08:40,1.7,1,13.3,86.7,0,47
Weekday,27 - 27N - 14:00,1.5,0,17.8,81.2,1,33
Weekday,27 - 27N - 14:20,2,1,12.3,83.9,3.8,85
Weekday,27 - 27N - 14:40,1.1,0,14.8,84.6,0.6,27
Weekday,27 - 27N - 15:00,1.3,1,12.9,82.1,5,31
Weekday,27 - 27N - 15:20,1.4,0,19.9,77.5,2.5,20
Weekday,27 - 27N - 15:40,1.4,0,13.3,83.8,3,34
Weekday,27 - 27N - 16:00,1.1,0,12.1,86.5,1.4,28
Weekday,27 - 27N - 16:20,1.5,0,11.4,84,4.6,20
Weekday,27 - 27N - 16:40,1.4,0,11.7,76,12.3,21
Weekday,27 - 27N - 17:00,1.2,0,5.4,61.5,33.1,11
Weekday,27 - 27N - 17:20,1.4,0,8.7,68.7,22.6,43
Weekday,27 - 27N - 17:40,1,0,8.5,69,22.4,21
Weekday,27 - 27N - 18:00,1.7,0,14.3,74,11.7,10
Weekday,27 - 27S - 05:37,2,0,1.7,97.1,1.2,2
Weekday,27 - 27S - 05:57,1.9,0,13.9,84.8,1.3,23
Weekday,27 - 27S - 06:17,1.4,0,2.9,94.6,2.5,13
Weekday,27 - 27S - 06:37,1.5,0,19,79.2,1.8,6
Weekday,27 - 27S - 06:57,2.1,0,2.1,96.7,1.3,23
Weekday,27 - 27S - 07:17,2,0,16.9,82.3,0.8,4
Weekday,27 - 27S - 07:37,1.1,0,1.3,91.1,7.6,55
Weekday,27 - 27S - 07:57,1.2,0,2.1,81.7,16.3,6
Weekday,27 - 27S - 08:17,1,1,4.1,93.9,2,4
Weekday,27 - 27S - 08:37,1.2,0,13,82.8,4.2,6
Weekday,27 - 27S - 08:57,1,0,2.1,95.9,2.1,6
Weekday,27 - 27S - 14:17,1.5,0,12.4,86.3,1.3,22
Weekday,27 - 27S - 14:37,1.1,1,0.9,84.3,14.8,13
Weekday,27 - 27S - 14:57,1.1,0,9.5,86.1,4.3,11
Weekday,27 - 27S - 15:17,1.6,1,6.6,86.9,6.6,21
Weekday,27 - 27S - 15:37,1.1,0,14,80,6,16
Weekday,27 - 27S - 15:57,1.1,0,3.9,84.2,11.8,11
Weekday,27 - 27S - 16:17,1,0,6.6,74.2,19.2,6
Weekday,27 - 27S - 16:37,1.4,0,0,62.6,37.4,15
Weekday,27 - 27S - 16:57,1.6,0,8.6,63.8,27.6,19
Weekday,27 - 27S - 17:17,1.3,1,5.7,57,37.3,20
Weekday,27 - 27S - 17:37,1.1,0,11.5,63.9,24.7,8
Weekday,27 - 27S - 17:57,1.3,0,14.2,66.5,19.3,17
Weekday,27 - 27S - 18:17,1,0,29.3,59.5,11.2,6
