Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Weekday,41 - 41C - 06:00,1.3,1,5.9,92.6,1.6,37
Weekday,41 - 41C - 06:30,3,1,5.7,94.3,0,160
Weekday,41 - 41C - 07:00,13,7,3.9,96.1,0,777
Weekday,41 - 41C - 07:30,9.6,5,2.9,93.8,3.3,615
Weekday,41 - 41C - 08:00,5.6,3,3,94.6,2.4,329
Weekday,41 - 41C - 08:30,4.7,32,4,95.8,0.2,265
Weekday,41 - 41C - 09:00,3.7,2,2.9,97.1,0,223
Weekday,41 - 41C - 09:30,4.2,4,3.6,96.4,0,258
Weekday,41 - 41C - 10:00,4,26,6,94,0,238
Weekday,41 - 41C - 10:30,3,2,2.9,97.1,0,180
Weekday,41 - 41C - 11:00,5.1,5,3.2,95.2,1.7,299
Weekday,41 - 41C - 11:30,6.5,26,5.5,94.5,0,402
Weekday,41 - 41C - 12:00,3.4,3,3,96.2,0.8,174
Weekday,41 - 41C - 12:30,4.6,6,3.4,96.5,0.1,258
Weekday,41 - 41C - 13:00,3.6,49,8,90.9,1.1,205
Weekday,41 - 41C - 13:30,6.1,4,3.2,94.3,2.5,375
Weekday,41 - 41C - 14:00,6.1,7,8.8,88.8,2.4,373
Weekday,41 - 41C - 14:30,25.1,31,3.5,60.9,35.6,"1,532"
Weekday,41 - 41C - 15:00,11.5,5,2.7,88.6,8.7,725
Weekday,41 - 41C - 15:30,7.4,12,5.5,88.3,6.1,436
Weekday,41 - 41C - 16:00,5.8,59.5,4.9,93.5,1.6,351
Weekday,41 - 41C - 16:30,4.4,3,3.5,94.7,1.8,277
Weekday,41 - 41C - 17:00,4.3,9,8,91.7,0.3,260
Weekday,41 - 41C - 17:30,4.5,62,4,93.7,2.4,272
Weekday,41 - 41C - 18:00,3.3,3,4.6,95.3,0.2,182
Weekday,41 - 41C - 18:30,3.1,8,16,83.7,0.3,161
Weekday,41 - 41C - 19:00,2.6,61.5,9.5,89.4,1.2,138
Weekday,41 - 41C - 19:30,2.5,3,5.7,93.3,0.9,124
