Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,170 - 170E - 08:05,3.4,1,5.4,93.6,1,37
Saturday,170 - 170E - 10:05,3.2,3,4.2,92,3.8,42
Saturday,170 - 170E - 12:05,2.3,2,5.4,93.9,0.6,28
Saturday,170 - 170E - 14:05,3.4,2,5.8,87.8,6.4,44
Saturday,170 - 170E - 16:05,3.6,1,11.5,87.2,1.3,40
Saturday,170 - 170E - 18:05,2.4,2,11.6,83.9,4.5,24
Saturday,170 - 170W - 07:05,1.6,0,12.8,86.7,0.5,18
Saturday,170 - 170W - 09:05,1.8,1,12.1,83.6,4.4,20
Saturday,170 - 170W - 11:05,2.8,2,7.7,87.7,4.6,33
Saturday,170 - 170W - 13:05,3.9,2,4.7,86,9.4,43
Saturday,170 - 170W - 15:05,5.1,1,5.9,79,15.1,61
Saturday,170 - 170W - 17:05,4.5,2,7.2,85.4,7.4,45
Weekday,170 - 170E - 06:05,6,2,6,92.8,1.2,384
Weekday,170 - 170E - 07:05,4.4,2,8,85.9,6.1,279
Weekday,170 - 170E - 08:05,5.9,3,5.1,94.5,0.3,376
Weekday,170 - 170E - 09:05,4.1,4,9.1,83.6,7.3,254
Weekday,170 - 170E - 10:05,6.3,5,5.1,93.4,1.5,406
Weekday,170 - 170E - 12:05,7,4,4.9,94.3,0.8,450
Weekday,170 - 170E - 14:05,4,4,4,89.5,6.5,196
Weekday,170 - 170E - 14:10,12.3,5,0.4,67.6,32,135
Weekday,170 - 170E - 15:05,3.8,2,5.8,83.1,11.1,68
Weekday,170 - 170E - 15:10,4.5,4,5.4,68.6,25.9,188
Weekday,170 - 170E - 16:05,3.7,3,4,88.6,7.3,197
Weekday,170 - 170E - 17:05,2.3,3,11.2,86.7,2.1,108
Weekday,170 - 170E - 18:05,2.2,2,4.1,87.1,8.7,96
Weekday,170 - 170E - 19:05,1.8,3,13.8,84.7,1.5,61
Weekday,170 - 170E - 20:05,2.7,2,3.9,84.2,11.9,130
Weekday,170 - 170W - 05:17,1.1,0,9.6,90.1,0.2,22
Weekday,170 - 170W - 06:05,1.8,1,11.9,86.3,1.7,82
Weekday,170 - 170W - 07:05,6.1,2,3.4,90.5,6.1,377
Weekday,170 - 170W - 08:05,2,1,11.9,83.9,4.2,105
Weekday,170 - 170W - 09:05,3,2,5.5,90.9,3.6,167
Weekday,170 - 170W - 11:05,3.7,3,3.8,89,7.2,227
Weekday,170 - 170W - 13:05,5.1,4,2.2,79.9,17.9,208
Weekday,170 - 170W - 13:15,28.1,5,3.4,74.1,22.4,337
Weekday,170 - 170W - 14:05,10.2,2,2.3,79.3,18.4,184
Weekday,170 - 170W - 14:15,43.3,4,3.8,75,21.2,"1,905"
Weekday,170 - 170W - 15:05,6.3,5,3.6,74.8,21.7,384
Weekday,170 - 170W - 16:05,5.4,5,5.8,83.1,11.1,327
Weekday,170 - 170W - 17:05,4.2,3,3.8,77.2,19,217
Weekday,170 - 170W - 18:05,3.1,3,9.4,88.3,2.4,172
Weekday,170 - 170W - 19:05,3.5,3,3.7,67.3,29.1,163
