Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,65 - 65E - 07:00,1.3,0,3.1,91.3,5.6,10
Saturday,65 - 65E - 07:30,1.4,0,3.4,92.3,4.3,10
Saturday,65 - 65E - 08:00,2.4,0,2.2,89,8.8,17
Saturday,65 - 65E - 08:30,2.5,2,4,96,0,25
Saturday,65 - 65E - 09:00,3.4,3,3.8,91.5,4.7,44
Saturday,65 - 65E - 09:30,3,1,4.6,92.9,2.5,33
Saturday,65 - 65E - 10:00,3.2,0,3.6,89.6,6.9,42
Saturday,65 - 65E - 10:30,3.7,3,3.6,91.4,5.1,41
Saturday,65 - 65E - 11:00,4.2,2,3.6,89.3,7.1,55
Saturday,65 - 65E - 11:30,5.5,11,3.6,92.3,4.1,72
Saturday,65 - 65E - 12:00,5.3,2,4.1,90.4,5.5,63
Saturday,65 - 65E - 12:30,5.3,1,3.6,79.4,17,63
Saturday,65 - 65E - 13:00,5,5,3.3,91.2,5.5,55
Saturday,65 - 65E - 13:30,6,3,3.8,91.2,4.9,72
Saturday,65 - 65E - 14:00,7.2,30,4.9,81.3,13.7,94
Saturday,65 - 65E - 14:30,7.1,3,3.1,78.3,18.7,85
Saturday,65 - 65E - 15:00,5.5,3,3.3,87.6,9.1,71
Saturday,65 - 65E - 15:30,5.2,6,3.6,91.4,5.1,62
Saturday,65 - 65E - 16:00,5.4,6,3.8,89.3,6.9,54
Saturday,65 - 65E - 16:30,9.4,47,3.6,81.2,15.2,113
Saturday,65 - 65E - 17:00,5.8,3,5.8,89,5.2,76
Saturday,65 - 65E - 17:30,6.5,4,4.1,92.9,3,85
Saturday,65 - 65E - 18:00,5.4,9,3.6,96.4,0,65
Saturday,65 - 65E - 18:30,4.8,5,3.8,79.7,16.5,48
Saturday,65 - 65W - 07:23,3.5,1,8.8,80.7,10.5,45
Saturday,65 - 65W - 07:53,3,0,0,92,8,39
Saturday,65 - 65W - 08:23,4.6,1,0,87.8,12.2,60
Saturday,65 - 65W - 08:53,4.1,2,1,79,20,49
Saturday,65 - 65W - 09:23,3.8,5,5.1,87.5,7.5,49
Saturday,65 - 65W - 09:54,6.9,3,0.2,89.6,10.1,90
Saturday,65 - 65W - 10:24,4.7,1,0,80,20,61
Saturday,65 - 65W - 10:54,5.1,3,0,85.3,14.7,56
Saturday,65 - 65W - 11:24,5.3,2,0.5,54.3,45.2,69
Saturday,65 - 65W - 11:54,5,16,4.3,83.4,12.3,65
Saturday,65 - 65W - 12:25,7.1,3,10.6,75.9,13.5,92
Saturday,65 - 65W - 12:55,6,2,0,77.1,22.9,78
Saturday,65 - 65W - 13:25,7.7,6,0,86.7,13.3,100
Saturday,65 - 65W - 13:55,8.5,4,3.9,73.5,22.7,102
Saturday,65 - 65W - 14:25,6.5,32,4.1,80.8,15.1,85
Saturday,65 - 65W - 14:55,4.8,2,4.1,77.1,18.8,63
Saturday,65 - 65W - 15:25,6.2,3,1.2,83.2,15.6,81
Saturday,65 - 65W - 15:55,6.1,7,5.5,82.5,12,67
Saturday,65 - 65W - 16:25,6.8,6,0.5,82.2,17.3,82
Saturday,65 - 65W - 16:55,4,42.5,0,69.6,30.4,40
Saturday,65 - 65W - 17:25,5.1,2,5.5,85.5,8.9,66
Saturday,65 - 65W - 17:55,5.5,3,5.1,88.2,6.7,72
Saturday,65 - 65W - 18:25,4.7,6,1.3,96.6,2.1,52
Saturday,65 - 65W - 18:55,2.7,4,7.3,73.1,19.6,35
Weekday,65 - 65E - 06:00,2.5,1,3.4,96,0.6,130
Weekday,65 - 65E - 06:30,12.9,0,5.7,93.9,0.4,773
Weekday,65 - 65E - 07:00,45.9,13,4.4,79.7,15.9,"2,936"
Weekday,65 - 65E - 07:30,28.8,10,3.5,36.8,59.7,"1,726"
Weekday,65 - 65E - 08:00,10.5,4,3.7,81.3,15,660
Weekday,65 - 65E - 08:30,8.1,1,3.7,92.8,3.5,497
Weekday,65 - 65E - 09:00,9.5,4,4.4,93,2.6,597
Weekday,65 - 65E - 09:30,7.3,7,4.4,69.2,26.4,464
Weekday,65 - 65E - 10:00,6.8,3,3.5,93.8,2.7,433
Weekday,65 - 65E - 10:30,12.4,1,4.3,90.2,5.5,780
Weekday,65 - 65E - 11:00,11.9,6,5.4,90.4,4.2,740
Weekday,65 - 65E - 11:30,9.8,8,3.6,65.7,30.7,624
Weekday,65 - 65E - 12:00,8.8,4,3.9,89.7,6.4,561
Weekday,65 - 65E - 12:30,7.3,1,3.7,87.9,8.4,462
Weekday,65 - 65E - 13:00,10.2,6,5.6,89.4,5,640
Weekday,65 - 65E - 13:30,19.1,11,4.3,66.8,28.9,"1,202"
Weekday,65 - 65E - 14:00,26,7,3.6,75.2,21.1,"1,667"
Weekday,65 - 65E - 14:30,34.1,2.5,1.6,42.3,56.1,"2,115"
Weekday,65 - 65E - 15:00,29.7,15,5.2,83.3,11.5,"1,779"
Weekday,65 - 65E - 15:30,19.4,17,5.3,79.5,15.2,"1,223"
Weekday,65 - 65E - 16:00,14.3,7,3.5,90.7,5.8,914
Weekday,65 - 65E - 16:30,20.5,4,3.6,54.8,41.6,"1,272"
Weekday,65 - 65E - 17:00,14.6,10,3.7,89.9,6.4,889
Weekday,65 - 65E - 17:30,9.4,10,3.5,85.3,11.2,604
Weekday,65 - 65E - 18:00,7.5,5,3.6,89.6,6.8,474
Weekday,65 - 65E - 18:30,8.8,2,3.6,58.1,38.3,527
Weekday,65 - 65E - 19:00,7,7,4.5,94.9,0.6,430
Weekday,65 - 65E - 19:30,4.7,8,3.7,86.3,10,278
Weekday,65 - 65E - 20:00,4.6,3,3.6,93.9,2.5,265
Weekday,65 - 65E - 20:30,4.8,1,3.6,70.7,25.7,283
Weekday,65 - 65E - 21:00,3.7,6,3.6,96.3,0.1,205
Weekday,65 - 65E - 21:30,2.7,6,3.7,89.1,7.2,129
Weekday,65 - 65W - 06:23,9.5,6,0.8,87.8,11.3,582
Weekday,65 - 65W - 06:55,28.5,10,4.5,83.2,12.4,"1,798"
Weekday,65 - 65W - 07:25,16.8,9,9.5,47.5,43,"1,077"
Weekday,65 - 65W - 07:54,12.8,10,1.4,16,82.6,820
Weekday,65 - 65W - 08:24,7.9,5,0.5,61.6,37.9,492
Weekday,65 - 65W - 08:53,8.5,2,1.2,80.6,18.2,537
Weekday,65 - 65W - 09:23,7.6,5,8,83.2,8.8,489
Weekday,65 - 65W - 09:53,7.9,8,7.4,28.3,64.3,507
Weekday,65 - 65W - 10:23,9.4,4,1.3,79.2,19.5,600
Weekday,65 - 65W - 10:54,8.4,2,2.6,77.3,20.1,529
Weekday,65 - 65W - 11:24,7.9,5,13.6,73.3,13.2,476
Weekday,65 - 65W - 11:54,9.3,7,3.2,27.9,68.9,595
Weekday,65 - 65W - 12:24,6.3,3,2.1,77.3,20.6,392
Weekday,65 - 65W - 12:54,7.7,1,2,75.2,22.7,485
Weekday,65 - 65W - 13:24,13.3,6,14.2,69,16.8,836
Weekday,65 - 65W - 13:54,16.8,13,7.6,23.9,68.5,"1,077"
Weekday,65 - 65W - 14:24,52.6,15,0.4,42.6,57,"3,367"
Weekday,65 - 65W - 14:57,18.3,2,0,10.9,89.1,"1,118"
Weekday,65 - 65W - 15:30,8.8,8,4.3,77.9,17.8,529
Weekday,65 - 65W - 15:58,8.5,9,0.4,62.4,37.3,537
Weekday,65 - 65W - 16:28,8.6,4,0.8,84,15.2,548
Weekday,65 - 65W - 16:56,8.1,2,0,29.1,70.9,504
Weekday,65 - 65W - 17:26,7.6,6,1.3,79.9,18.8,453
Weekday,65 - 65W - 17:55,5.6,7,0.1,64.8,35.1,353
Weekday,65 - 65W - 18:25,4.4,2,0,83.2,16.7,270
Weekday,65 - 65W - 18:55,4,0,1,46.7,52.3,214
Weekday,65 - 65W - 19:25,2.9,3,6.7,89.9,3.4,147
Weekday,65 - 65W - 19:54,2.9,6,0.1,74.4,25.4,156
Weekday,65 - 65W - 20:24,2.8,2,0.2,91.5,8.3,152
Weekday,65 - 65W - 20:54,2.2,0,1.9,58.2,39.9,91
Weekday,65 - 65W - 21:23,1.7,3,2.9,93.1,4,33
Weekday,65 - 65W - 21:53,1.6,5,0.7,84.3,15,37
