Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,20 - 20E - 07:18,2.8,0,6.6,93.4,0,33
Saturday,20 - 20E - 07:48,2,1,1.5,98.5,0,16
Saturday,20 - 20E - 08:18,2.3,1,11.4,88.6,0,23
Saturday,20 - 20E - 08:48,2.5,1,2.6,97.4,0,33
Saturday,20 - 20E - 09:18,2.4,2,14.7,85.3,0,26
Saturday,20 - 20E - 09:48,2.7,3,2.6,94.5,2.9,35
Saturday,20 - 20E - 10:18,3.1,2,0.7,91.6,7.7,31
Saturday,20 - 20E - 10:48,2.6,2,2.6,97.4,0,31
Saturday,20 - 20E - 11:18,3.8,3,0,65.6,34.4,46
Saturday,20 - 20E - 11:48,2.7,3,1.1,90.4,8.5,32
Saturday,20 - 20E - 12:18,3.3,3,0,100,0,36
Saturday,20 - 20E - 12:48,3.2,3,4,90.8,5.1,42
Saturday,20 - 20E - 13:18,3.8,4,0,68.7,31.3,38
Saturday,20 - 20E - 13:48,4.2,2,2.6,97.4,0,54
Saturday,20 - 20E - 14:18,5.1,3,1.1,98.2,0.7,61
Saturday,20 - 20E - 14:48,4.7,2,9.5,90.1,0.4,47
Saturday,20 - 20E - 15:18,3.5,4,0,78,22,38
Saturday,20 - 20E - 15:48,2.5,3,0,79.9,20.1,30
Saturday,20 - 20E - 16:18,3.7,5,0,96.3,3.7,33
Saturday,20 - 20E - 16:48,2.6,3,16.8,77.3,5.9,23
Saturday,20 - 20E - 17:18,2.1,6,1.6,98.4,0,21
Saturday,20 - 20E - 17:48,2.2,3,0.7,89.4,9.9,26
Saturday,20 - 20E - 18:18,1.8,4,4.8,88.6,6.6,22
Saturday,20 - 20E - 18:48,2.4,2,19.4,77.7,2.9,26
Saturday,20 - 20E - 19:18,1.7,5,2.2,94.9,2.9,19
Saturday,20 - 20E - 19:45,2.7,4,7.3,92.7,0,35
Saturday,20 - 20E - 20:45,2.8,2,4.8,88.6,6.6,31
Saturday,20 - 20E - 21:45,1.5,1,10.3,89.4,0.4,9
Saturday,20 - 20W - 07:15,1.8,0,8.6,91.4,0,9
Saturday,20 - 20W - 07:45,1.6,0,9.5,90.5,0,8
Saturday,20 - 20W - 08:15,2.2,1,7.7,92.3,0,26
Saturday,20 - 20W - 08:45,2.5,2,14.2,85.8,0,28
Saturday,20 - 20W - 09:15,2.2,1,6.2,92,1.8,24
Saturday,20 - 20W - 09:45,3.6,2,5.3,94.7,0,43
Saturday,20 - 20W - 10:15,2.6,2,3.6,74.5,22,34
Saturday,20 - 20W - 10:45,3.8,2,8,84.9,7.1,46
Saturday,20 - 20W - 11:15,3.1,2,5,94.4,0.6,37
Saturday,20 - 20W - 11:45,3.4,1,9.3,82.7,8.1,44
Saturday,20 - 20W - 12:15,2.4,2,4.1,85.2,10.7,24
Saturday,20 - 20W - 12:45,3,2,8.6,89.9,1.5,36
Saturday,20 - 20W - 13:15,5.1,3,5.3,94.4,0.3,66
Saturday,20 - 20W - 13:45,3.5,2,8,92,0,45
Saturday,20 - 20W - 14:15,4.7,3,4.7,90.5,4.7,56
Saturday,20 - 20W - 14:45,3.6,3,10.4,89.6,0,40
Saturday,20 - 20W - 15:15,5,6,6.8,92.1,1.2,65
Saturday,20 - 20W - 15:45,4.1,3,19.8,79.9,0.3,45
Saturday,20 - 20W - 16:15,4.7,6,7.4,92,0.6,56
Saturday,20 - 20W - 16:45,5.3,3,3.8,91.4,4.7,69
