Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,123 - 123N - 06:57,2,0,8.2,91.8,0,20
Saturday,123 - 123N - 06:45,2.1,1,4.2,95.8,0,27
Saturday,123 - 123N - 07:00,4.1,1,6.8,93,0.1,53
Saturday,123 - 123N - 07:30,6,2,6.7,93.3,0,78
Saturday,123 - 123N - 08:00,8.4,5,3.4,96.6,0,109
Saturday,123 - 123N - 08:30,8.8,2,4,95,1,115
Saturday,123 - 123N - 09:00,11.2,3,4.8,90.7,4.5,146
Saturday,123 - 123N - 09:30,8.8,3,5.2,94.1,0.7,115
Saturday,123 - 123N - 10:00,13.4,12,3.7,95,1.3,174
Saturday,123 - 123N - 10:30,18.5,5,4.3,88.6,7.1,240
Saturday,123 - 123N - 11:00,13.2,4,3.7,92.3,4,172
Saturday,123 - 123N - 11:30,15.6,5,4.4,95.6,0,203
Saturday,123 - 123N - 12:00,12,21,2.5,97.5,0,156
Saturday,123 - 123N - 12:30,16.9,5.5,4.1,95.6,0.3,220
Saturday,123 - 123N - 13:00,12.3,5,3.9,91.5,4.6,160
Saturday,123 - 123N - 13:30,18.9,8,5.4,91.6,3,246
Saturday,123 - 123N - 14:00,17.8,35,3,97,0,231
Saturday,123 - 123N - 14:30,17.4,5,1.8,82.5,15.7,226
Saturday,123 - 123N - 15:00,16.7,6,5.3,92.6,2.1,217
Saturday,123 - 123N - 15:30,16.2,9,5.5,92.8,1.8,211
Saturday,123 - 123N - 16:00,18.4,44,3.3,94.4,2.4,239
Saturday,123 - 123N - 16:30,17,6,2.1,73.1,24.9,221
Saturday,123 - 123N - 17:00,15.5,6,2,91.1,6.9,201
Saturday,123 - 123N - 17:30,16.4,9,5.8,92.3,1.9,213
Saturday,123 - 123N - 18:00,15.9,43,3.3,93.8,3,207
Saturday,123 - 123N - 18:30,13.3,6,3,86.4,10.7,173
Saturday,123 - 123N - 19:00,15.6,6,3.6,91.6,4.9,203
Saturday,123 - 123N - 19:30,13.3,8,5.6,92.2,2.2,173
Saturday,123 - 123N - 20:00,13.9,49,3.2,92.3,4.4,181
Saturday,123 - 123N - 20:30,14.2,6,2.4,79.1,18.5,184
Saturday,123 - 123N - 21:00,6.8,3,3.1,91.6,5.3,89
Saturday,123 - 123N - 21:30,2.2,6,12.8,87.2,0,24
Saturday,123 - 123S - 06:45,3.5,1,19.2,80.8,0,46
Saturday,123 - 123S - 06:56,6.6,3,3.2,96,0.8,86
Saturday,123 - 123S - 07:26,4.8,1,8.5,91.5,0,63
Saturday,123 - 123S - 07:56,7.9,2,5.5,94.5,0,103
Saturday,123 - 123S - 08:26,7.9,2,3.7,96.3,0,103
Saturday,123 - 123S - 08:56,7.3,8,2.3,97.7,0,95
Saturday,123 - 123S - 09:26,10.1,3,1.8,92.2,6,131
Saturday,123 - 123S - 09:56,13.3,6,0.6,90.3,9,173
Saturday,123 - 123S - 10:27,8.8,4,1.1,92.4,6.5,115
Saturday,123 - 123S - 10:57,17.2,20,0,91.9,8.1,224
Saturday,123 - 123S - 11:27,12,5,0.3,86.4,13.2,156
Saturday,123 - 123S - 11:57,12.2,7,2.3,97.6,0.2,158
Saturday,123 - 123S - 12:27,11.5,7,1.1,98.9,0,149
Saturday,123 - 123S - 12:57,11.8,27,0.5,99.2,0.3,153
Saturday,123 - 123S - 13:27,20.8,6,1.5,97.4,1.1,271
Saturday,123 - 123S - 13:57,13.8,7,5,91.1,3.9,179
Saturday,123 - 123S - 14:27,14.6,9,1.8,95,3.2,190
Saturday,123 - 123S - 14:57,15.5,41,1,97.7,1.3,201
Saturday,123 - 123S - 15:28,17.2,5,0,69.2,30.8,223
Saturday,123 - 123S - 15:58,13.7,6,7.5,82.8,9.8,178
Saturday,123 - 123S - 16:28,13.8,8,10.4,87.1,2.5,179
Saturday,123 - 123S - 16:58,14.8,42,1,99,0,192
Saturday,123 - 123S - 17:28,9.2,5,3.1,84.2,12.8,120
Saturday,123 - 123S - 17:58,8.6,5,8.7,91.3,0,112
Saturday,123 - 123S - 18:28,11.2,6,10,90,0,145
Saturday,123 - 123S - 18:58,10.5,48,3.1,95.8,1.1,136
Saturday,123 - 123S - 19:28,9.8,5,1,88.4,10.6,128
Saturday,123 - 123S - 19:58,8.8,4,6.3,91.3,2.4,115
Saturday,123 - 123S - 20:27,9.8,7,18.1,81.3,0.6,127
Saturday,123 - 123S - 20:57,8.5,48,7.9,88.5,3.5,111
Saturday,123 - 123S - 21:27,3.9,4,14.2,81.1,4.7,35
Saturday,123 - 123S - 21:57,3,2,12.5,87.5,0,3
Sunday,123 - 123N - 08:00,5.8,2,3.1,96.2,0.7,81
Sunday,123 - 123N - 08:15,2,1,4.6,95.4,0,28
Sunday,123 - 123N - 08:30,6.8,2,2.3,96.5,1.2,89
Sunday,123 - 123N - 09:00,13.3,2,2.7,97.3,0,186
Sunday,123 - 123N - 09:30,11.2,3,3.5,96.5,0,157
Sunday,123 - 123N - 10:00,7.6,4,3.4,96.6,0,107
Sunday,123 - 123N - 10:30,9.8,3,2,88.7,9.3,127
Sunday,123 - 123N - 11:00,13.9,3,2.4,97.6,0,194
Sunday,123 - 123N - 11:30,14.3,5,4.3,94.7,1,186
Sunday,123 - 123N - 12:00,17.3,6,4.2,91.9,3.9,225
Sunday,123 - 123N - 12:30,11.5,4,2,88.4,9.7,150
Sunday,123 - 123N - 13:00,14.4,4,2.8,97.2,0,201
Sunday,123 - 123N - 13:30,15.3,4,3.8,95.9,0.3,199
Sunday,123 - 123N - 14:00,15.8,7,2.9,91.2,5.9,206
Sunday,123 - 123N - 14:30,11.9,3,1.7,88.9,9.4,166
Sunday,123 - 123N - 15:00,13.1,4,3.4,95.9,0.7,183
